id	sym	ME-1_DMSO_rep1	ME-1_DMSO_rep2	ME-1_DMSO_rep3	ME-1_AI-10-49_rep1	ME-1_AI-10-49_rep2	ME-1_AI-10-49_rep3
ENSG00000004766	CCDC132	435	424	433	563	599	609
ENSG00000004776	HSPB6	0	1	0	1	2	0
ENSG00000004777	ARHGAP33	240	329	220	175	230	178
ENSG00000004779	NDUFAB1	997	948	1187	708	747	784
ENSG00000004799	PDK4	1	0	0	0	0	0
ENSG00000004809	SLC22A16	669	685	727	342	348	321
ENSG00000004838	ZMYND10	17	12	17	18	21	14
ENSG00000004846	ABCB5	1	0	0	0	0	0
ENSG00000004864	SLC25A13	409	374	420	519	535	519
ENSG00000004866	ST7	425	461	443	572	588	500
ENSG00000004897	CDC27	1523	1581	1531	2003	2049	1946
ENSG00000004939	SLC4A1	1	3	0	0	0	1
ENSG00000004961	HCCS	296	280	290	344	332	312
ENSG00000004975	DVL2	595	691	649	635	710	633
ENSG00000005001	PRSS22	2	1	1	0	0	0
ENSG00000005007	UPF1	3116	3595	3125	2406	2776	2338
ENSG00000005020	SKAP2	2258	2196	2268	2393	2356	2343
ENSG00000005022	SLC25A5	4600	4665	5087	4646	4900	4671
ENSG00000005059	CCDC109B	11	11	11	2	2	3
ENSG00000005073	HOXA11	200	207	193	112	122	93
ENSG00000005075	POLR2J	346	371	367	324	327	295
ENSG00000005100	DHX33	694	757	694	231	232	220
ENSG00000005108	THSD7A	0	1	0	1	0	0
ENSG00000005156	LIG3	965	1106	964	612	688	544
ENSG00000005175	RPAP3	947	979	1086	1351	1424	1422
ENSG00000005187	ACSM3	383	424	438	354	333	336
ENSG00000005189	na	507	590	585	593	571	606
ENSG00000005194	CIAPIN1	946	939	1086	903	897	874
ENSG00000005206	SPPL2B	1040	1299	988	850	914	764
ENSG00000005238	FAM214B	230	267	214	315	372	280
ENSG00000005249	PRKAR2B	0	0	1	0	1	1
ENSG00000005302	MSL3	334	366	332	332	334	306
ENSG00000005339	CREBBP	2525	2786	2189	5039	5767	4978
ENSG00000005379	BZRAP1	2047	2623	1884	1140	1310	1129
ENSG00000005381	MPO	62317	68697	64658	39772	45207	40742
ENSG00000005436	GCFC2	500	504	491	625	574	586
ENSG00000005448	WDR54	268	289	324	340	348	330
ENSG00000005471	ABCB4	1	1	1	0	1	0
ENSG00000005483	KMT2E	1667	1663	1502	2747	2937	2784
ENSG00000005486	RHBDD2	423	442	435	579	612	510
ENSG00000005513	SOX8	10	9	7	9	7	5
ENSG00000005700	IBTK	1687	1617	1552	1721	1720	1613
ENSG00000005801	ZNF195	802	785	840	719	729	742
ENSG00000005810	MYCBP2	3498	3928	3103	3587	3871	3396
ENSG00000005812	FBXL3	697	741	717	1248	1251	1320
ENSG00000005844	ITGAL	1931	2330	1891	1716	1900	1703
ENSG00000005882	PDK2	243	294	245	244	241	216
ENSG00000005884	ITGA3	12	20	15	8	18	6
ENSG00000005889	ZFX	677	680	625	958	1034	927
ENSG00000005893	LAMP2	4380	4243	4290	4342	4341	4407
ENSG00000005961	ITGA2B	11934	13751	12210	8098	9146	7949
ENSG00000006007	GDE1	1373	1272	1387	1306	1415	1371
ENSG00000006015	C19orf60	769	861	778	591	687	567
ENSG00000006016	CRLF1	12	12	9	10	8	4
ENSG00000006025	OSBPL7	505	637	466	384	436	332
ENSG00000006047	YBX2	0	1	1	1	0	0
ENSG00000006062	MAP3K14	128	136	105	110	136	136
ENSG00000006071	ABCC8	0	0	0	2	0	0
ENSG00000006118	TMEM132A	0	4	2	3	4	1
ENSG00000006125	AP2B1	4831	4996	4681	4768	5167	4788
ENSG00000006194	ZNF263	1246	1288	1299	1287	1324	1306
ENSG00000006282	SPATA20	467	534	438	392	414	376
ENSG00000006283	CACNA1G	4	4	6	10	7	4
ENSG00000006327	TNFRSF12A	159	142	170	128	138	143
ENSG00000006432	MAP3K9	1	0	1	1	2	0
ENSG00000006451	RALA	854	795	862	1380	1419	1482
ENSG00000006453	BAIAP2L1	6	5	5	4	4	3
ENSG00000006459	KDM7A	463	435	463	974	956	913
ENSG00000006530	AGK	768	780	751	692	756	731
ENSG00000006534	ALDH3B1	310	303	281	313	312	336
ENSG00000006576	PHTF2	721	670	735	580	517	578
ENSG00000006607	FARP2	378	385	363	238	286	223
ENSG00000006611	USH1C	0	1	0	0	0	0
ENSG00000006625	GGCT	536	545	637	489	493	512
ENSG00000006634	DBF4	670	621	681	563	570	512
ENSG00000006638	TBXA2R	204	274	250	62	80	67
ENSG00000006652	IFRD1	777	799	810	1665	1658	1673
ENSG00000006695	COX10	255	233	280	290	290	291
ENSG00000006704	GTF2IRD1	10	15	11	17	24	21
ENSG00000006712	PAF1	934	949	942	1114	1086	1033
ENSG00000006715	VPS41	1545	1479	1493	1385	1337	1409
ENSG00000006740	ARHGAP44	3	2	5	2	1	1
ENSG00000006744	ELAC2	923	1153	1108	451	537	487
ENSG00000006757	PNPLA4	121	116	125	144	146	159
ENSG00000006831	ADIPOR2	2088	2156	2106	2372	2533	2399
ENSG00000006837	CDKL3	8	11	7	14	16	20
ENSG00000007038	PRSS21	2086	2337	2084	1143	1183	1084
ENSG00000007047	MARK4	588	639	587	626	764	599
ENSG00000007062	PROM1	156	164	124	80	73	81
ENSG00000007080	CCDC124	660	704	814	539	602	545
ENSG00000007129	CEACAM21	15	9	9	24	16	18
ENSG00000007168	PAFAH1B1	1574	1592	1493	2230	2307	2254
ENSG00000007171	NOS2	16	7	11	4	3	4
ENSG00000007202	KIAA0100	5223	5605	5289	2512	2894	2553
ENSG00000007216	SLC13A2	0	0	0	1	0	0
ENSG00000007237	GAS7	435	501	459	533	641	573
ENSG00000007255	TRAPPC6A	537	581	592	468	561	529
ENSG00000007264	MATK	2203	2540	2600	1748	1997	1797
ENSG00000007312	CD79B	326	344	386	121	122	118
ENSG00000007314	SCN4A	15	22	14	55	61	50
ENSG00000007341	ST7L	114	131	112	225	211	212
ENSG00000007350	TKTL1	4	4	3	9	6	15
ENSG00000007372	PAX6	34	35	31	33	35	41
ENSG00000007376	RPUSD1	1109	1197	1374	648	702	609
ENSG00000007384	RHBDF1	182	250	170	106	140	115
ENSG00000007392	LUC7L	801	991	762	905	952	882
ENSG00000007402	CACNA2D2	47	40	44	25	28	25
ENSG00000007516	BAIAP3	29	30	27	13	17	18
ENSG00000007520	TSR3	546	546	610	353	387	366
ENSG00000007541	PIGQ	364	377	306	330	366	323
ENSG00000007545	CRAMP1L	652	714	590	512	547	502
ENSG00000007866	TEAD3	12	14	11	11	14	15
ENSG00000007923	DNAJC11	978	1129	968	667	749	608
ENSG00000007944	MYLIP	456	454	439	277	310	269
ENSG00000007952	NOX1	9	9	9	6	16	13
ENSG00000007968	E2F2	464	488	465	177	189	152
ENSG00000008018	PSMB1	1883	1964	2346	2414	2577	2491
ENSG00000008056	SYN1	30	16	29	61	52	55
ENSG00000008083	JARID2	1469	1511	1410	1430	1457	1318
ENSG00000008086	CDKL5	2	6	4	8	5	3
ENSG00000008128	CDK11A	84	119	71	66	78	56
ENSG00000008130	NADK	1500	1713	1598	747	858	738
ENSG00000008226	DLEC1	6	8	10	3	4	3
ENSG00000008256	CYTH3	374	387	356	467	514	479
ENSG00000008277	ADAM22	2	6	3	4	4	4
ENSG00000008282	SYPL1	3794	3731	3740	3219	3091	3425
ENSG00000008283	CYB561	1512	1738	1490	829	929	786
ENSG00000008294	SPAG9	1576	1634	1442	2629	2893	2688
ENSG00000008300	CELSR3	81	104	81	192	204	183
ENSG00000008311	AASS	0	0	2	0	0	0
ENSG00000008323	PLEKHG6	6	6	6	6	4	5
ENSG00000008324	SS18L2	423	471	447	283	325	316
ENSG00000008382	MPND	372	383	359	230	265	218
ENSG00000008394	MGST1	1379	1411	1510	891	899	868
ENSG00000008405	CRY1	4	3	3	1	6	0
ENSG00000008438	PGLYRP1	1	1	2	1	3	4
ENSG00000008441	NFIX	1239	1256	1266	561	577	546
ENSG00000008513	ST3GAL1	3208	3381	3131	4375	4752	4436
ENSG00000008516	MMP25	16	25	12	10	16	14
ENSG00000008517	IL32	3	4	1	2	2	1
ENSG00000008710	PKD1	2095	2561	1963	1166	1405	1192
ENSG00000008735	MAPK8IP2	4	4	1	6	6	0
ENSG00000008838	MED24	1908	2278	1915	1296	1396	1278
ENSG00000008853	RHOBTB2	121	110	123	53	54	49
ENSG00000008869	HEATR5B	1309	1379	1149	1167	1354	1187
ENSG00000008952	SEC62	1916	1883	1978	3307	3199	3393
ENSG00000008988	RPS20	36874	37352	42110	43083	44494	42839
ENSG00000009307	CSDE1	13898	13627	13442	13982	14570	14015
ENSG00000009335	UBE3C	2422	2422	2460	1830	1938	1692
ENSG00000009413	REV3L	1235	1252	1169	1093	1143	1045
ENSG00000009694	TENM1	0	1	1	0	0	0
ENSG00000009724	MASP2	25	25	18	20	20	24
ENSG00000009780	FAM76A	141	141	142	148	165	143
ENSG00000009790	TRAF3IP3	613	672	561	531	555	533
ENSG00000009830	POMT2	261	335	233	244	252	225
ENSG00000009844	VTA1	1039	1060	1077	1379	1356	1374
ENSG00000009950	MLXIPL	1	1	0	1	1	0
ENSG00000009954	BAZ1B	3347	3435	3141	2566	2647	2414
ENSG00000010017	RANBP9	1142	1165	1141	2136	2154	2143
ENSG00000010030	ETV7	0	0	1	1	1	0
ENSG00000010072	SPRTN	369	379	387	310	329	335
ENSG00000010165	METTL13	1186	1192	1256	967	1027	980
ENSG00000010219	DYRK4	192	202	183	254	255	227
ENSG00000010244	ZNF207	3593	3982	3223	2848	3021	2757
ENSG00000010256	UQCRC1	2602	2588	2740	2318	2499	2458
ENSG00000010270	STARD3NL	972	897	1067	1268	1324	1274
ENSG00000010278	CD9	141	146	158	88	73	72
ENSG00000010292	NCAPD2	5221	5672	5020	3885	4069	3667
ENSG00000010295	IFFO1	681	809	623	520	559	471
ENSG00000010310	GIPR	5	8	4	1	6	4
ENSG00000010318	PHF7	113	102	91	76	82	72
ENSG00000010319	SEMA3G	31	25	31	13	21	10
ENSG00000010322	NISCH	907	1058	827	641	712	596
ENSG00000010327	STAB1	7077	9023	6440	3168	3609	3028
ENSG00000010361	FUZ	356	436	453	413	439	440
ENSG00000010379	SLC6A13	3	2	0	5	2	0
ENSG00000010404	IDS	2096	2104	1710	2503	2593	2472
ENSG00000010539	ZNF200	380	402	397	305	301	314
ENSG00000010610	CD4	652	692	657	527	523	530
ENSG00000010626	LRRC23	63	75	75	106	119	129
ENSG00000010671	BTK	3617	3763	3738	3199	3203	3054
ENSG00000010704	HFE	4	0	0	5	2	1
ENSG00000010803	SCMH1	1203	1307	1151	1089	1088	1029
ENSG00000010810	FYN	0	4	2	5	3	2
ENSG00000010818	HIVEP2	1	9	2	17	27	20
ENSG00000010932	FMO1	2	7	3	5	5	8
ENSG00000011007	TCEB3	1515	1515	1495	890	938	892
ENSG00000011009	LYPLA2	960	1054	1099	838	905	788
ENSG00000011021	CLCN6	502	623	442	1222	1272	1173
ENSG00000011028	MRC2	2484	2627	2370	2324	2660	2149
ENSG00000011052	NME2	11	11	16	9	7	9
ENSG00000011083	SLC6A7	0	0	0	0	0	1
ENSG00000011105	TSPAN9	158	159	173	154	153	144
ENSG00000011114	BTBD7	899	885	745	864	892	882
ENSG00000011132	APBA3	335	382	358	492	557	507
ENSG00000011143	MKS1	403	447	349	434	462	436
ENSG00000011198	ABHD5	140	139	125	93	103	92
ENSG00000011201	ANOS1	1	2	2	1	0	2
ENSG00000011243	AKAP8L	1220	1271	1097	1028	1190	957
ENSG00000011258	MBTD1	1726	1713	1687	2261	2282	2223
ENSG00000011260	UTP18	1497	1465	1662	1271	1333	1316
ENSG00000011275	RNF216	1872	2041	1816	1799	1996	1797
ENSG00000011295	TTC19	1089	1114	1153	1144	1187	1142
ENSG00000011304	PTBP1	7522	8005	7516	6319	6819	6115
ENSG00000011332	DPF1	10	11	9	7	14	15
ENSG00000011376	LARS2	1092	1022	1136	788	866	777
ENSG00000011405	PIK3C2A	736	722	631	880	894	930
ENSG00000011422	PLAUR	430	395	401	740	774	766
ENSG00000011426	ANLN	839	943	838	714	687	664
ENSG00000011451	WIZ	1423	1473	1329	933	1074	880
ENSG00000011454	RABGAP1	430	470	417	607	668	609
ENSG00000011465	DCN	0	0	0	0	1	0
ENSG00000011478	QPCTL	344	384	346	464	514	444
ENSG00000011485	PPP5C	1367	1492	1489	734	771	661
ENSG00000011523	CEP68	1136	1258	1163	844	965	836
ENSG00000011566	MAP4K3	397	370	381	550	509	532
ENSG00000011590	ZBTB32	10	8	7	4	7	10
ENSG00000011600	TYROBP	2832	2950	3382	3137	3246	3043
ENSG00000011638	TMEM159	256	255	251	214	211	209
ENSG00000012048	BRCA1	1322	1414	1253	1270	1337	1321
ENSG00000012061	ERCC1	1075	1147	1155	917	1075	932
ENSG00000012124	CD22	19	36	20	24	37	28
ENSG00000012171	SEMA3B	3	13	1	11	11	8
ENSG00000012174	MBTPS2	411	432	409	406	387	362
ENSG00000012211	PRICKLE3	297	298	274	195	233	199
ENSG00000012223	LTF	13	15	19	15	15	14
ENSG00000012232	EXTL3	340	334	354	224	273	218
ENSG00000012504	NR1H4	0	0	1	0	0	0
ENSG00000012660	ELOVL5	1744	1828	1698	2192	2145	2190
ENSG00000012779	ALOX5	2	7	7	1	2	0
ENSG00000012817	KDM5D	1749	2240	1518	1396	1567	1329
ENSG00000012822	CALCOCO1	756	838	651	567	619	547
ENSG00000012963	UBR7	1100	1142	1159	704	726	690
ENSG00000012983	MAP4K5	837	839	845	917	867	913
ENSG00000013016	EHD3	448	395	418	295	299	284
ENSG00000013275	PSMC4	1149	1164	1256	1301	1417	1364
ENSG00000013288	MAN2B2	743	821	710	554	691	523
ENSG00000013293	SLC7A14	0	1	0	0	0	0
ENSG00000013297	CLDN11	3	4	1	3	3	2
ENSG00000013306	SLC25A39	1400	1549	1494	912	1028	931
ENSG00000013364	MVP	342	343	352	358	394	371
ENSG00000013374	NUB1	1008	946	1013	1233	1348	1218
ENSG00000013375	PGM3	291	296	298	301	353	321
ENSG00000013392	RWDD2A	67	62	65	61	63	68
ENSG00000013441	CLK1	1218	1284	1244	2342	2405	2385
ENSG00000013503	POLR3B	343	362	422	335	315	327
ENSG00000013523	ANGEL1	957	998	957	584	617	543
ENSG00000013561	RNF14	635	636	663	858	888	904
ENSG00000013563	DNASE1L1	171	195	191	166	184	219
ENSG00000013573	DDX11	851	1102	790	317	330	292
ENSG00000013583	HEBP1	378	391	432	382	437	412
ENSG00000013588	GPRC5A	1	0	0	1	0	0
ENSG00000013725	CD6	20	25	17	17	22	19
ENSG00000013810	TACC3	2942	3495	3144	1958	2167	1913
ENSG00000014123	UFL1	825	805	773	1530	1479	1503
ENSG00000014138	POLA2	796	842	823	602	620	605
ENSG00000014164	ZC3H3	636	680	640	657	725	672
ENSG00000014216	CAPN1	3821	3941	3965	2436	2688	2392
ENSG00000014257	ACPP	110	112	104	64	53	47
ENSG00000014641	MDH1	2114	2213	2378	1774	1688	1808
ENSG00000014824	SLC30A9	1343	1303	1279	1617	1535	1779
ENSG00000014914	MTMR11	72	69	67	82	90	82
ENSG00000014919	COX15	1202	1335	1231	1438	1467	1398
ENSG00000015133	CCDC88C	1835	2035	1747	1020	1173	997
ENSG00000015153	YAF2	330	349	325	789	713	786
ENSG00000015171	ZMYND11	1404	1464	1471	1546	1610	1518
ENSG00000015285	WAS	830	863	796	669	786	691
ENSG00000015413	DPEP1	0	1	2	0	1	0
ENSG00000015475	BID	770	804	906	448	448	442
ENSG00000015479	MATR3	31	33	19	21	13	24
ENSG00000015520	NPC1L1	0	1	0	0	0	1
ENSG00000015532	XYLT2	545	682	611	250	291	264
ENSG00000015568	RGPD5	3	3	1	2	0	2
ENSG00000015676	NUDCD3	1330	1367	1351	1151	1214	1128
ENSG00000016391	CHDH	1	0	0	2	0	2
ENSG00000016602	CLCA4	0	0	0	0	0	1
ENSG00000016864	GLT8D1	911	969	932	700	698	694
ENSG00000017260	ATP2C1	3456	3450	3403	5176	5166	5175
ENSG00000017483	SLC38A5	1128	1216	1174	839	946	871
ENSG00000017797	RALBP1	2729	2726	2703	2748	2910	2646
ENSG00000018189	RUFY3	64	67	61	47	44	52
ENSG00000018280	SLC11A1	10	12	5	5	12	6
ENSG00000018408	WWTR1	0	5	1	2	4	1
ENSG00000018510	AGPS	906	835	911	951	991	991
ENSG00000018610	CXorf56	446	477	498	354	393	384
ENSG00000018625	ATP1A2	0	0	0	0	1	0
ENSG00000018699	TTC27	745	787	753	839	854	908
ENSG00000018869	ZNF582	50	46	44	75	72	71
ENSG00000019102	VSIG2	158	161	124	74	87	71
ENSG00000019144	PHLDB1	91	72	71	56	73	64
ENSG00000019485	PRDM11	412	439	406	346	348	339
ENSG00000019582	CD74	13500	14160	14350	10771	11673	10769
ENSG00000019991	HGF	690	713	664	402	394	382
ENSG00000019995	ZRANB1	454	484	458	728	778	715
ENSG00000020129	NCDN	645	726	662	307	322	304
ENSG00000020181	ADGRA2	95	114	80	91	76	81
ENSG00000020256	ZFP64	387	410	416	278	302	270
ENSG00000020426	MNAT1	287	286	268	593	584	538
ENSG00000020577	SAMD4A	3	0	0	17	15	14
ENSG00000020633	RUNX3	4	10	8	24	27	18
ENSG00000020922	MRE11A	2143	2258	1879	2233	2242	2069
ENSG00000021300	PLEKHB1	3	0	3	1	2	3
ENSG00000021355	SERPINB1	9190	9226	10120	10139	10681	10192
ENSG00000021488	SLC7A9	0	0	0	0	0	1
ENSG00000021574	SPAST	928	886	803	1402	1269	1390
ENSG00000021645	NRXN3	1	0	0	0	0	1
ENSG00000021762	OSBPL5	651	749	576	586	683	608
ENSG00000021776	AQR	1796	1799	1619	1964	2144	2006
ENSG00000021826	CPS1	1	3	4	2	1	4
ENSG00000022267	FHL1	460	499	443	457	492	479
ENSG00000022277	RTFDC1	2460	2427	2661	2576	2763	2612
ENSG00000022556	NLRP2	366	357	348	334	368	290
ENSG00000022567	SLC45A4	272	318	253	672	683	605
ENSG00000022840	RNF10	2906	2918	3015	3493	3725	3606
ENSG00000022976	ZNF839	222	217	198	254	301	281
ENSG00000023041	ZDHHC6	721	782	758	674	744	680
ENSG00000023171	GRAMD1B	2	0	0	2	4	6
ENSG00000023191	RNH1	2725	3127	2955	2366	2645	2361
ENSG00000023228	NDUFS1	865	872	857	888	937	984
ENSG00000023287	RB1CC1	2142	2129	2081	3518	3460	3542
ENSG00000023318	ERP44	787	777	893	951	923	964
ENSG00000023330	ALAS1	886	922	918	1442	1447	1395
ENSG00000023445	BIRC3	255	238	234	2570	2426	2699
ENSG00000023516	AKAP11	936	975	894	669	634	617
ENSG00000023572	GLRX2	165	179	200	236	232	222
ENSG00000023608	SNAPC1	231	219	235	381	412	405
ENSG00000023697	DERA	575	537	600	608	647	622
ENSG00000023734	STRAP	2661	2586	2751	4111	4156	4233
ENSG00000023839	ABCC2	24	21	28	28	34	18
ENSG00000023892	DEF6	1641	1837	1665	1678	1868	1670
ENSG00000023902	PLEKHO1	2710	2884	3259	1962	2011	1800
ENSG00000023909	GCLM	285	345	338	691	696	702
ENSG00000024048	UBR2	1428	1522	1323	2186	2332	2094
ENSG00000024422	EHD2	565	571	588	428	490	434
ENSG00000024526	DEPDC1	486	446	466	519	480	570
ENSG00000024862	CCDC28A	289	317	334	771	776	743
ENSG00000025039	RRAGD	983	1055	1003	801	822	794
ENSG00000025156	HSF2	490	469	474	629	548	571
ENSG00000025293	PHF20	2614	2713	2572	4105	4492	4169
ENSG00000025423	HSD17B6	36	41	50	54	43	46
ENSG00000025434	NR1H3	309	371	323	245	305	304
ENSG00000025708	TYMP	20	26	21	21	21	18
ENSG00000025770	NCAPH2	971	1072	978	885	898	830
ENSG00000025772	TOMM34	1003	1049	1044	789	866	848
ENSG00000025796	SEC63	2022	1968	1886	2114	2064	2048
ENSG00000025800	KPNA6	1233	1265	1173	1114	1165	1070
ENSG00000026025	VIM	2640	2865	2759	3962	4038	4405
ENSG00000026036	RTEL1-TNFRSF6B	59	91	47	44	67	39
ENSG00000026103	FAS	17	31	25	19	20	16
ENSG00000026297	RNASET2	744	842	883	486	543	451
ENSG00000026508	CD44	23976	24260	24447	19857	20614	20238
ENSG00000026652	AGPAT4	2	1	3	5	3	6
ENSG00000026751	SLAMF7	4	1	2	1	2	6
ENSG00000026950	BTN3A1	396	490	460	293	290	299
ENSG00000027001	MIPEP	214	216	214	187	188	191
ENSG00000027075	PRKCH	1072	1046	1046	1738	1746	1679
ENSG00000027644	INSRR	93	116	63	75	76	66
ENSG00000027697	IFNGR1	960	971	974	1469	1579	1604
ENSG00000027847	B4GALT7	480	441	427	279	306	290
ENSG00000027869	SH2D2A	439	468	496	2034	2199	1989
ENSG00000028116	VRK2	449	445	467	694	706	722
ENSG00000028137	TNFRSF1B	1786	1894	1867	4269	4654	4519
ENSG00000028203	VEZT	802	853	928	1441	1429	1352
ENSG00000028277	POU2F2	260	264	217	215	196	198
ENSG00000028310	BRD9	1093	1377	1129	572	626	559
ENSG00000028528	SNX1	2413	2660	2508	2504	2677	2392
ENSG00000028839	TBPL1	389	359	400	542	506	558
ENSG00000029153	ARNTL2	875	885	976	466	510	473
ENSG00000029363	BCLAF1	4900	5122	4492	4848	4813	4820
ENSG00000029364	SLC39A9	2071	2001	2022	2514	2618	2696
ENSG00000029534	ANK1	8	6	2	1	2	1
ENSG00000029639	TFB1M	176	179	192	196	200	188
ENSG00000029725	RABEP1	901	891	938	698	749	712
ENSG00000029993	HMGB3	56	50	60	90	100	108
ENSG00000030066	NUP160	2345	2584	2321	1777	1918	1832
ENSG00000030110	BAK1	683	731	715	631	704	626
ENSG00000030419	IKZF2	226	242	237	138	133	126
ENSG00000030582	GRN	5649	5863	5931	3184	3612	3285
ENSG00000031003	FAM13B	1310	1378	1192	2854	2990	2827
ENSG00000031081	ARHGAP31	5	11	6	26	22	16
ENSG00000031691	CENPQ	221	238	256	340	341	359
ENSG00000031698	SARS	1247	1393	1460	1845	1895	1791
ENSG00000031823	RANBP3	1186	1232	1178	1131	1234	1058
ENSG00000032219	ARID4A	1164	1171	1095	2145	2262	2177
ENSG00000032389	TSSC1	835	852	935	1001	1107	1097
ENSG00000032444	PNPLA6	1259	1339	1352	1075	1102	1069
ENSG00000032742	IFT88	136	155	142	189	205	174
ENSG00000033011	ALG1	510	456	517	347	351	309
ENSG00000033030	ZCCHC8	428	541	496	1019	1028	965
ENSG00000033050	ABCF2	1510	1614	1603	947	909	953
ENSG00000033100	CHPF2	1726	1940	1711	902	1003	828
ENSG00000033122	LRRC7	25	30	19	28	31	29
ENSG00000033170	FUT8	842	889	877	506	528	518
ENSG00000033178	UBA6	1205	1172	1111	1494	1381	1510
ENSG00000033327	GAB2	2023	2134	2023	4935	5195	4906
ENSG00000033627	ATP6V0A1	1642	1628	1542	2377	2614	2259
ENSG00000033800	PIAS1	1321	1337	1298	1625	1664	1667
ENSG00000033867	SLC4A7	510	555	473	237	270	262
ENSG00000034053	APBA2	1560	1716	1627	1447	1588	1389
ENSG00000034152	MAP2K3	659	671	658	1067	1180	1127
ENSG00000034510	TMSB10	4188	4403	5083	2079	2190	1892
ENSG00000034533	ASTE1	243	270	286	171	193	180
ENSG00000034677	RNF19A	892	881	856	1270	1255	1238
ENSG00000034693	PEX3	255	268	308	378	355	396
ENSG00000034713	GABARAPL2	543	502	541	431	466	475
ENSG00000035115	SH3YL1	345	411	336	405	418	406
ENSG00000035141	FAM136A	1276	1387	1409	720	769	708
ENSG00000035403	VCL	5329	5454	4998	5708	6107	5598
ENSG00000035499	DEPDC1B	971	970	1013	751	701	769
ENSG00000035664	DAPK2	35	36	40	16	9	10
ENSG00000035681	NSMAF	4148	4460	4129	4840	5260	5009
ENSG00000035687	ADSS	1742	1723	1681	1103	1073	1077
ENSG00000035720	STAP1	422	394	369	527	562	535
ENSG00000035862	TIMP2	540	574	501	521	555	530
ENSG00000035928	RFC1	1783	1761	1766	2550	2599	2513
ENSG00000036054	TBC1D23	1040	964	974	1931	1829	1919
ENSG00000036257	CUL3	734	712	763	1005	1106	1087
ENSG00000036448	MYOM2	41	30	45	76	124	106
ENSG00000036473	OTC	0	0	0	0	1	0
ENSG00000036530	CYP46A1	0	1	0	1	0	0
ENSG00000036549	ZZZ3	1706	1734	1740	1758	1755	1709
ENSG00000036565	SLC18A1	2	5	1	1	1	0
ENSG00000036672	USP2	1	0	1	0	0	0
ENSG00000037042	TUBG2	65	73	63	62	69	45
ENSG00000037241	RPL26L1	341	395	414	402	383	375
ENSG00000037280	FLT4	2424	2857	2389	1047	1215	1042
ENSG00000037474	NSUN2	2349	2448	2290	1475	1532	1452
ENSG00000037637	FBXO42	613	683	612	950	1075	978
ENSG00000037749	MFAP3	463	479	485	600	650	562
ENSG00000037757	MRI1	384	439	397	194	201	162
ENSG00000037897	METTL1	363	399	393	187	210	179
