id	sym	A2058_Control_1_RNA	A2058_Control_2_RNA	A2058_Control_3_RNA	A2058_VitC_1_RNA	A2058_VitC_2_RNA	A2058_VitC_3_RNA
ENSG00000007062	PROM1	34	30	13	34	56	34
ENSG00000007080	CCDC124	550	392	224	365	371	280
ENSG00000007129	CEACAM21	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	10380	6433	3921	6431	7964	5157
ENSG00000007171	NOS2	11	4	4	2	9	7
ENSG00000007174	DNAH9	355	259	147	133	169	120
ENSG00000007202	KIAA0100	22496	13875	8155	13438	17655	10425
ENSG00000007216	SLC13A2	0	1	0	2	2	1
ENSG00000007237	GAS7	16709	11028	6563	10061	12797	7801
ENSG00000007255	TRAPPC6A	50	22	17	24	30	19
ENSG00000007264	MATK	0	0	0	0	2	1
ENSG00000007306	CEACAM7	0	0	0	1	1	1
ENSG00000007312	CD79B	1	1	1	4	1	4
ENSG00000007314	SCN4A	1	2	0	2	0	3
ENSG00000007341	ST7L	1141	699	438	678	865	567
ENSG00000007350	TKTL1	2	2	0	2	6	1
ENSG00000007372	PAX6	6	3	0	1	3	3
ENSG00000007376	RPUSD1	336	213	123	175	263	168
ENSG00000007384	RHBDF1	589	347	198	325	437	278
ENSG00000007392	LUC7L	2221	1339	845	1138	1467	973
ENSG00000007402	CACNA2D2	0	2	0	1	0	2
ENSG00000007516	BAIAP3	13	6	7	14	18	12
ENSG00000007520	TSR3	1421	816	536	940	1143	728
ENSG00000007541	PIGQ	344	217	142	164	247	141
ENSG00000007545	CRAMP1	429	303	155	274	371	192
ENSG00000007866	TEAD3	207	100	75	102	105	80
ENSG00000007908	SELE	3	4	3	3	5	5
ENSG00000007923	DNAJC11	3697	2091	1375	1961	2392	1595
ENSG00000007933	FMO3	5	2	2	3	2	3
ENSG00000007944	MYLIP	1607	1062	650	814	1057	695
ENSG00000007952	NOX1	2	0	0	0	0	1
ENSG00000007968	E2F2	101	48	47	41	72	37
ENSG00000008018	PSMB1	5087	3174	1867	2778	3627	2235
ENSG00000008056	SYN1	0	0	0	0	3	1
ENSG00000008083	JARID2	5158	3149	1938	2847	3733	2156
ENSG00000008086	CDKL5	358	200	137	188	244	140
ENSG00000008118	CAMK1G	3	4	0	0	1	3
ENSG00000008128	CDK11A	11	12	5	8	17	8
ENSG00000008130	NADK	1353	785	480	757	991	662
ENSG00000008196	TFAP2B	0	2	2	0	1	3
ENSG00000008197	TFAP2D	0	0	0	0	2	0
ENSG00000008226	DLEC1	3	10	2	1	3	11
ENSG00000008256	CYTH3	2676	1742	1094	1708	2047	1169
ENSG00000008277	ADAM22	208	148	87	95	130	94
ENSG00000008282	SYPL1	4844	2985	1816	3011	3889	2194
ENSG00000008283	CYB561	1289	797	469	843	1134	754
ENSG00000008294	SPAG9	17680	11869	7304	10754	13430	8929
ENSG00000008300	CELSR3	211	126	83	95	143	84
ENSG00000008311	AASS	1973	1279	751	1298	1540	1032
ENSG00000008323	PLEKHG6	2	0	0	2	0	3
ENSG00000008324	SS18L2	384	228	133	240	287	167
ENSG00000008382	MPND	192	112	121	112	126	91
ENSG00000008394	MGST1	3250	2372	1503	1638	2118	1073
ENSG00000008405	CRY1	1236	733	439	753	905	633
ENSG00000008438	PGLYRP1	0	0	1	0	0	0
ENSG00000008441	NFIX	756	628	402	502	575	369
ENSG00000008513	ST3GAL1	1718	1190	615	1234	1660	1121
ENSG00000008516	MMP25	5	2	0	0	5	2
ENSG00000008517	IL32	14	6	8	11	26	24
ENSG00000008710	PKD1	775	465	260	358	571	310
ENSG00000008735	MAPK8IP2	309	180	131	218	230	163
ENSG00000008838	MED24	1554	956	572	868	1111	699
ENSG00000008853	RHOBTB2	1050	716	404	626	800	524
ENSG00000008869	HEATR5B	2634	1715	945	1673	2346	1565
ENSG00000008952	SEC62	7287	4836	2949	4433	5613	3820
ENSG00000008988	RPS20	28691	17248	10409	15548	19886	14664
ENSG00000009307	CSDE1	40126	25265	15075	24167	29476	18458
ENSG00000009335	UBE3C	12706	7933	4941	7923	10019	5856
ENSG00000009413	REV3L	13046	8896	5141	7800	9803	5759
ENSG00000009694	TENM1	143	79	51	99	147	63
ENSG00000009709	PAX7	0	0	1	1	1	2
ENSG00000009724	MASP2	3	2	0	3	1	5
ENSG00000009765	IYD	2	0	0	2	3	6
ENSG00000009780	FAM76A	560	343	228	376	516	288
ENSG00000009790	TRAF3IP3	6	5	2	4	3	8
ENSG00000009830	POMT2	1270	754	506	631	859	552
ENSG00000009844	VTA1	7174	4428	2737	4498	5656	3144
ENSG00000009950	MLXIPL	1	1	0	0	0	1
ENSG00000009954	BAZ1B	28499	18938	11295	17549	21068	14540
ENSG00000010017	RANBP9	5219	3512	2168	3326	4113	2279
ENSG00000010030	ETV7	6	3	1	2	4	3
ENSG00000010072	SPRTN	1765	1159	652	1161	1587	1002
ENSG00000010165	METTL13	2913	1695	994	1654	2067	1321
ENSG00000010219	DYRK4	358	219	111	195	289	188
ENSG00000010244	ZNF207	7505	5268	3006	4635	6427	3719
ENSG00000010256	UQCRC1	7066	4161	2493	3966	5205	3105
ENSG00000010270	STARD3NL	2955	1799	1088	1975	2563	1784
ENSG00000010278	CD9	1009	555	363	704	859	632
ENSG00000010282	HHATL	0	0	0	1	0	1
ENSG00000010292	NCAPD2	9278	6160	3583	5429	6995	4483
ENSG00000010295	IFFO1	552	329	221	360	429	422
ENSG00000010310	GIPR	30	23	24	15	24	19
ENSG00000010318	PHF7	241	161	119	178	197	148
ENSG00000010319	SEMA3G	23	18	14	29	30	26
ENSG00000010322	NISCH	971	641	289	591	804	604
ENSG00000010327	STAB1	5	3	0	3	4	3
ENSG00000010361	FUZ	560	363	233	368	406	336
ENSG00000010379	SLC6A13	13	13	13	7	6	2
ENSG00000010404	IDS	372	273	134	182	230	130
ENSG00000010438	PRSS3	0	0	0	0	0	0
ENSG00000010539	ZNF200	822	554	287	477	739	454
ENSG00000010610	CD4	1	1	0	3	1	0
ENSG00000010626	LRRC23	93	50	31	50	42	53
ENSG00000010671	BTK	2	1	3	4	4	2
ENSG00000010704	HFE	2168	1476	863	1394	1785	1092
ENSG00000010803	SCMH1	778	490	321	435	618	328
ENSG00000010810	FYN	4593	2923	1839	2833	3864	2352
ENSG00000010818	HIVEP2	2873	1978	1196	1797	2193	1186
ENSG00000010932	FMO1	3	6	0	0	1	1
ENSG00000011007	TCEB3	7436	4933	2964	4436	5425	3318
ENSG00000011009	LYPLA2	688	414	250	376	549	358
ENSG00000011021	CLCN6	573	318	193	299	405	235
ENSG00000011028	MRC2	2566	1428	1036	1293	1836	949
ENSG00000011052	NME1-NME2	0	0	0	0	0	0
ENSG00000011083	SLC6A7	0	0	2	0	1	0
ENSG00000011105	TSPAN9	233	179	98	142	169	97
ENSG00000011114	BTBD7	399	246	174	266	349	178
ENSG00000011132	APBA3	139	85	38	105	128	72
ENSG00000011143	MKS1	492	311	201	276	382	246
ENSG00000011198	ABHD5	1110	761	461	849	1033	644
ENSG00000011201	ANOS1	0	0	0	0	1	1
ENSG00000011243	AKAP8L	2639	1683	1019	1529	1915	1244
ENSG00000011258	MBTD1	1888	1236	749	1168	1419	873
ENSG00000011260	UTP18	5423	3323	1972	3155	4065	2698
ENSG00000011275	RNF216	5940	3869	2351	3356	4065	2596
ENSG00000011295	TTC19	3552	2256	1512	2250	2981	2115
ENSG00000011304	PTBP1	7429	4485	2736	4048	5492	3322
ENSG00000011332	DPF1	100	56	45	45	57	19
ENSG00000011347	SYT7	7	1	0	0	4	5
ENSG00000011376	LARS2	2684	1660	939	1430	1886	1139
ENSG00000011405	PIK3C2A	9718	6980	3995	6221	8257	5027
ENSG00000011422	PLAUR	846	559	337	524	728	427
ENSG00000011426	ANLN	23560	15822	9419	15702	20755	13644
ENSG00000011451	WIZ	748	437	266	382	503	271
ENSG00000011454	RABGAP1	3086	1940	1068	1779	2237	1560
ENSG00000011465	DCN	79	65	22	74	84	77
ENSG00000011478	QPCTL	280	186	119	176	228	151
ENSG00000011485	PPP5C	4187	2469	1577	2099	2607	1577
ENSG00000011523	CEP68	831	549	349	556	775	435
ENSG00000011566	MAP4K3	3216	2018	1271	2182	2845	1854
ENSG00000011590	ZBTB32	1	0	0	1	0	0
ENSG00000011600	TYROBP	0	1	0	0	0	1
ENSG00000011638	TMEM159	311	198	118	186	273	199
ENSG00000011677	GABRA3	332	201	131	209	256	181
ENSG00000012048	BRCA1	9931	6312	3676	6455	7987	5053
ENSG00000012061	ERCC1	1218	761	502	606	942	668
ENSG00000012124	CD22	116	70	32	72	111	66
ENSG00000012171	SEMA3B	3279	1832	1063	2010	2892	1685
ENSG00000012174	MBTPS2	1793	1179	668	1123	1477	730
ENSG00000012211	PRICKLE3	128	77	43	76	114	76
ENSG00000012223	LTF	0	1	0	0	0	3
ENSG00000012232	EXTL3	2100	1281	753	1213	1668	1063
ENSG00000012504	NR1H4	8	8	3	7	2	5
ENSG00000012660	ELOVL5	8544	5433	3359	5047	6352	4039
ENSG00000012779	ALOX5	0	0	0	0	0	0
ENSG00000012817	KDM5D	1652	1003	644	1073	1414	867
ENSG00000012822	CALCOCO1	907	577	385	536	771	462
ENSG00000012963	UBR7	1423	898	616	891	1016	707
ENSG00000012983	MAP4K5	5087	3245	1923	3125	4010	2578
ENSG00000013016	EHD3	380	254	153	198	250	169
ENSG00000013275	PSMC4	3600	2043	1296	2098	2610	1469
ENSG00000013288	MAN2B2	849	538	324	539	690	445
ENSG00000013293	SLC7A14	4	3	3	1	1	5
ENSG00000013297	CLDN11	8	2	4	3	0	3
ENSG00000013306	SLC25A39	1268	679	362	598	827	545
ENSG00000013364	MVP	994	620	376	853	1089	709
ENSG00000013374	NUB1	4788	2947	1944	2989	3625	2858
ENSG00000013375	PGM3	4341	2721	1564	2827	3585	2306
ENSG00000013392	RWDD2A	228	158	96	159	199	118
ENSG00000013441	CLK1	3204	2093	1229	2016	2643	1704
ENSG00000013503	POLR3B	1258	852	455	872	1045	689
ENSG00000013523	ANGEL1	338	198	119	199	227	153
ENSG00000013561	RNF14	5364	3314	2057	3630	4609	3123
ENSG00000013563	DNASE1L1	706	422	250	387	528	303
ENSG00000013573	DDX11	2014	1206	764	1205	1535	946
ENSG00000013583	HEBP1	262	156	105	210	232	128
ENSG00000013588	GPRC5A	1629	988	601	902	1281	701
ENSG00000013619	MAMLD1	84	45	32	47	57	26
ENSG00000013725	CD6	6	0	0	1	0	2
ENSG00000013810	TACC3	2243	1332	888	1347	1590	914
ENSG00000014123	UFL1	4581	3088	1732	2962	3969	2507
ENSG00000014138	POLA2	1100	735	434	602	826	528
ENSG00000014164	ZC3H3	59	26	22	30	32	28
ENSG00000014216	CAPN1	1693	1040	601	1041	1319	947
ENSG00000014257	ACPP	264	164	107	145	152	96
ENSG00000014641	MDH1	6478	3817	2149	4140	5593	3405
ENSG00000014824	SLC30A9	8406	5598	3548	5689	7120	4603
ENSG00000014914	MTMR11	174	116	70	99	210	76
ENSG00000014919	COX15	2359	1501	858	1491	2015	1174
ENSG00000015133	CCDC88C	72	58	31	42	53	41
ENSG00000015153	YAF2	1273	916	493	765	1070	702
ENSG00000015171	ZMYND11	6971	4290	2794	4333	5385	3662
ENSG00000015285	WAS	2	0	1	3	4	2
ENSG00000015413	DPEP1	0	1	0	1	1	0
ENSG00000015475	BID	2195	1338	832	1335	1760	937
ENSG00000015479	MATR3	439	318	168	275	416	207
ENSG00000015520	NPC1L1	1	1	0	0	0	1
ENSG00000015532	XYLT2	1410	892	556	848	1132	703
ENSG00000015568	RGPD5	2	3	0	1	3	0
ENSG00000015592	STMN4	0	1	0	0	2	1
ENSG00000015676	NUDCD3	3674	2203	1279	2291	2881	1867
ENSG00000016082	ISL1	0	1	0	0	0	3
ENSG00000016391	CHDH	137	80	54	88	105	64
ENSG00000016402	IL20RA	3	1	0	1	0	1
ENSG00000016490	CLCA1	1	5	0	3	3	10
ENSG00000016602	CLCA4	4	0	6	4	2	5
ENSG00000016864	GLT8D1	2010	1153	710	1018	1456	845
ENSG00000017260	ATP2C1	9992	6364	3580	5900	7757	5087
ENSG00000017427	IGF1	6	11	7	11	12	7
ENSG00000017483	SLC38A5	0	0	0	2	4	3
ENSG00000017797	RALBP1	6536	4362	2655	4373	5305	4094
ENSG00000018189	RUFY3	1848	1182	712	1298	1575	1060
ENSG00000018236	CNTN1	3058	1998	1165	2079	2528	1691
ENSG00000018280	SLC11A1	0	2	1	1	6	3
ENSG00000018408	WWTR1	18719	12977	7123	12996	15752	9571
ENSG00000018510	AGPS	17988	11784	6766	10991	13630	8296
ENSG00000018607	ZNF806	0	0	0	1	0	0
ENSG00000018610	CXorf56	1118	653	420	641	858	602
ENSG00000018625	ATP1A2	1	3	0	1	1	5
ENSG00000018699	TTC27	1329	886	551	793	1071	785
ENSG00000018869	ZNF582	121	66	58	46	73	54
ENSG00000019102	VSIG2	2	2	3	1	0	0
ENSG00000019144	PHLDB1	2921	1806	1126	1731	2277	1331
ENSG00000019169	MARCO	0	0	0	0	0	0
ENSG00000019186	CYP24A1	2	1	1	0	1	2
ENSG00000019485	PRDM11	119	79	60	47	71	52
ENSG00000019505	SYT13	6	7	5	2	4	1
ENSG00000019549	SNAI2	557	349	209	566	647	455
ENSG00000019582	CD74	1270	777	534	2627	3601	2762
ENSG00000019991	HGF	116	76	40	82	105	77
ENSG00000019995	ZRANB1	2456	1515	1035	1688	2030	1287
ENSG00000020129	NCDN	641	379	254	357	547	418
ENSG00000020181	ADGRA2	1070	655	396	592	737	439
ENSG00000020219	CCT8L1P	0	0	0	0	0	0
ENSG00000020256	ZFP64	400	305	148	266	334	195
ENSG00000020426	MNAT1	1811	1152	667	1112	1351	977
ENSG00000020577	SAMD4A	934	688	382	715	858	488
ENSG00000020633	RUNX3	1175	759	398	795	977	590
ENSG00000020922	MRE11A	3472	2364	1335	2044	2563	1778
ENSG00000021300	PLEKHB1	347	186	145	230	258	228
ENSG00000021355	SERPINB1	1184	815	469	856	1162	735
ENSG00000021461	CYP3A43	3	4	1	1	7	6
ENSG00000021488	SLC7A9	3	0	0	1	2	4
ENSG00000021574	SPAST	4125	2695	1612	2738	3467	2144
ENSG00000021645	NRXN3	1147	729	399	578	721	415
ENSG00000021762	OSBPL5	664	414	228	415	583	402
ENSG00000021776	AQR	9259	6132	3859	5648	7440	4454
ENSG00000021826	CPS1	3461	2145	1342	2266	3128	1924
ENSG00000021852	C8B	0	2	0	1	2	2
ENSG00000022267	FHL1	442	293	165	198	285	127
ENSG00000022277	RTFDC1	3631	2212	1409	2244	2534	1942
ENSG00000022355	GABRA1	4	4	0	4	5	9
ENSG00000022556	NLRP2	0	2	0	0	0	0
ENSG00000022567	SLC45A4	350	221	117	218	299	203
ENSG00000022840	RNF10	2831	1745	1024	1514	2068	1237
ENSG00000022976	ZNF839	881	503	324	517	683	399
ENSG00000023041	ZDHHC6	3210	1982	1237	2131	2890	1728
ENSG00000023171	GRAMD1B	27104	16376	9754	16534	21462	13594
ENSG00000023191	RNH1	835	405	267	467	596	375
ENSG00000023228	NDUFS1	19864	13052	7898	12406	15502	10876
ENSG00000023287	RB1CC1	15836	10436	6314	9912	13044	8210
ENSG00000023318	ERP44	3810	2442	1412	2047	2406	1516
ENSG00000023330	ALAS1	1896	1196	798	1311	1611	1209
ENSG00000023445	BIRC3	973	550	326	848	1088	753
ENSG00000023516	AKAP11	7165	5020	2717	5404	6905	3837
ENSG00000023572	GLRX2	1310	852	533	871	1055	702
ENSG00000023608	SNAPC1	4834	3409	1944	3452	4595	2812
ENSG00000023697	DERA	2724	1949	1176	1874	2446	1660
ENSG00000023734	STRAP	8708	5214	3122	4926	5848	3618
ENSG00000023839	ABCC2	154	96	45	86	137	97
ENSG00000023892	DEF6	94	72	39	93	152	95
ENSG00000023902	PLEKHO1	800	570	360	601	745	536
ENSG00000023909	GCLM	2955	1954	1053	1739	2053	1434
ENSG00000024048	UBR2	4482	2991	1689	2772	3432	2263
ENSG00000024422	EHD2	112	87	56	100	121	75
ENSG00000024526	DEPDC1	10194	6434	3841	6444	7834	5505
ENSG00000024862	CCDC28A	519	370	213	362	420	249
ENSG00000025039	RRAGD	2369	1606	1010	1549	2088	1290
ENSG00000025156	HSF2	1538	953	583	898	1182	724
ENSG00000025293	PHF20	2405	1618	950	1490	1867	1113
ENSG00000025423	HSD17B6	98	41	40	57	71	44
ENSG00000025434	NR1H3	186	136	68	157	164	130
ENSG00000025708	TYMP	13	15	4	31	37	17
ENSG00000025770	NCAPH2	1039	663	384	692	977	606
ENSG00000025772	TOMM34	2117	1332	835	1092	1465	987
ENSG00000025796	SEC63	7198	4666	2537	4188	4924	2822
ENSG00000025800	KPNA6	3975	2614	1505	2400	3056	1890
ENSG00000026025	VIM	124397	76925	47349	80203	105611	61485
ENSG00000026036	RTEL1-TNFRSF6B	20	12	8	6	11	5
ENSG00000026103	FAS	1015	642	348	788	995	680
ENSG00000026297	RNASET2	269	137	107	151	186	111
ENSG00000026508	CD44	20979	14375	8367	13421	16634	10559
ENSG00000026559	KCNG1	139	79	43	49	69	61
ENSG00000026652	AGPAT4	466	275	156	286	409	235
ENSG00000026751	SLAMF7	50	34	26	71	105	60
ENSG00000026950	BTN3A1	1060	680	397	756	908	704
ENSG00000027001	MIPEP	2185	1310	852	1188	1578	945
ENSG00000027075	PRKCH	408	321	154	222	305	243
ENSG00000027644	INSRR	1	1	0	0	0	1
ENSG00000027697	IFNGR1	1710	1041	637	1060	1379	771
ENSG00000027847	B4GALT7	247	146	77	113	220	130
ENSG00000027869	SH2D2A	67	51	24	43	60	49
ENSG00000028116	VRK2	1498	972	530	1056	1265	852
ENSG00000028137	TNFRSF1B	28	23	11	13	14	13
ENSG00000028203	VEZT	3273	2286	1387	2082	2747	1792
ENSG00000028277	POU2F2	14	8	5	12	13	9
ENSG00000028310	BRD9	2747	1894	1149	1721	2261	1537
ENSG00000028528	SNX1	3898	2389	1474	2268	2778	1745
ENSG00000028839	TBPL1	979	607	442	531	711	395
ENSG00000029153	ARNTL2	2149	1301	779	1604	1958	1284
