id	sym	MRTrep1	MRTrep2	MRTrep3	Controlrep1	Controlrep2	Controlrep3
ENSG00000006712	PAF1	309	164	375	367	285	288
ENSG00000006715	VPS41	836	345	722	576	619	586
ENSG00000006740	ARHGAP44	17	5	27	7	12	12
ENSG00000006744	ELAC2	1007	440	1284	916	1166	921
ENSG00000006747	SCIN	0	1	0	0	0	0
ENSG00000006756	ARSD	727	350	967	402	363	322
ENSG00000006757	PNPLA4	0	0	0	0	0	0
ENSG00000006788	MYH13	0	1	0	3	0	1
ENSG00000006831	ADIPOR2	2082	907	2299	2027	1754	1547
ENSG00000006837	CDKL3	3	6	4	9	14	9
ENSG00000007001	UPP2	0	1	0	0	1	0
ENSG00000007038	PRSS21	897	382	975	667	736	563
ENSG00000007047	MARK4	308	125	355	287	288	238
ENSG00000007062	PROM1	2	0	0	0	5	0
ENSG00000007080	CCDC124	399	142	483	326	458	323
ENSG00000007129	CEACAM21	41	22	36	39	40	26
ENSG00000007168	PAFAH1B1	525	344	627	678	506	443
ENSG00000007171	NOS2	3	2	2	7	1	2
ENSG00000007174	DNAH9	0	0	0	1	0	0
ENSG00000007202	KIAA0100	749	412	1112	684	584	546
ENSG00000007216	SLC13A2	0	0	0	0	0	0
ENSG00000007237	GAS7	41	20	37	30	24	36
ENSG00000007255	TRAPPC6A	2847	1214	3116	2182	2707	1844
ENSG00000007264	MATK	0	0	0	0	0	0
ENSG00000007306	CEACAM7	0	0	0	0	0	0
ENSG00000007312	CD79B	14	14	17	5	12	9
ENSG00000007314	SCN4A	0	0	1	0	2	2
ENSG00000007341	ST7L	27	8	22	23	22	11
ENSG00000007350	TKTL1	2	0	0	2	0	0
ENSG00000007372	PAX6	23	8	23	23	24	11
ENSG00000007376	RPUSD1	337	131	358	201	233	192
ENSG00000007384	RHBDF1	0	5	4	1	7	3
ENSG00000007392	LUC7L	1012	356	1037	739	886	701
ENSG00000007402	CACNA2D2	0	0	4	3	0	2
ENSG00000007516	BAIAP3	2	0	1	0	0	0
ENSG00000007520	TSR3	16	27	24	20	7	7
ENSG00000007541	PIGQ	125	58	153	94	123	104
ENSG00000007545	CRAMP1	117	55	129	103	77	94
ENSG00000007866	TEAD3	6	7	4	4	12	14
ENSG00000007908	SELE	0	0	0	0	0	0
ENSG00000007923	DNAJC11	13	6	12	12	10	15
ENSG00000007933	FMO3	0	0	0	0	0	0
ENSG00000007944	MYLIP	649	255	574	505	553	484
ENSG00000007952	NOX1	0	0	0	2	0	0
ENSG00000007968	E2F2	211	113	251	157	109	118
ENSG00000008018	PSMB1	2648	1757	3217	3716	2023	2236
ENSG00000008056	SYN1	4	3	3	10	4	1
ENSG00000008083	JARID2	2191	1254	2151	2256	1460	1452
ENSG00000008086	CDKL5	22	9	22	22	23	16
ENSG00000008118	CAMK1G	0	0	0	0	0	0
ENSG00000008128	CDK11A	2	0	0	1	0	3
ENSG00000008130	NADK	66	27	86	51	30	34
ENSG00000008196	TFAP2B	1	0	3	0	2	1
ENSG00000008197	TFAP2D	0	0	0	0	0	0
ENSG00000008226	DLEC1	2	0	2	0	0	1
ENSG00000008256	CYTH3	744	227	762	571	763	566
ENSG00000008277	ADAM22	82	40	94	95	49	58
ENSG00000008282	SYPL1	349	198	413	429	260	262
ENSG00000008283	CYB561	189	80	211	138	138	124
ENSG00000008294	SPAG9	952	292	797	760	883	641
ENSG00000008300	CELSR3	324	107	326	206	220	173
ENSG00000008311	AASS	0	1	1	0	0	2
ENSG00000008323	PLEKHG6	2	0	0	1	0	0
ENSG00000008324	SS18L2	738	250	761	697	573	478
ENSG00000008382	MPND	4	0	4	4	2	0
ENSG00000008394	MGST1	322	271	453	379	358	341
ENSG00000008405	CRY1	22	7	20	22	21	22
ENSG00000008438	PGLYRP1	3	0	0	0	3	0
ENSG00000008441	NFIX	641	203	548	402	650	483
ENSG00000008513	ST3GAL1	372	238	489	552	426	391
ENSG00000008516	MMP25	124	68	138	67	52	50
ENSG00000008517	IL32	5	0	11	3	1	3
ENSG00000008710	PKD1	218	162	278	344	205	219
ENSG00000008735	MAPK8IP2	11	2	8	5	5	1
ENSG00000008838	MED24	6612	1799	5461	4885	7380	4380
ENSG00000008853	RHOBTB2	155	60	167	129	65	99
ENSG00000008869	HEATR5B	271	77	204	165	200	171
ENSG00000008952	SEC62	2639	1422	2814	2695	2315	1911
ENSG00000008988	RPS20	15099	14347	17676	16647	12932	11783
ENSG00000009307	CSDE1	11117	5400	11984	13646	9078	8392
ENSG00000009335	UBE3C	538	274	594	487	483	384
ENSG00000009413	REV3L	413	168	391	329	284	248
ENSG00000009694	TENM1	6	1	7	2	12	7
ENSG00000009709	PAX7	0	0	0	0	0	0
ENSG00000009724	MASP2	0	0	2	0	0	0
ENSG00000009765	IYD	0	1	1	0	0	0
ENSG00000009780	FAM76A	97	30	92	70	89	65
ENSG00000009790	TRAF3IP3	1476	1088	1737	1641	885	925
ENSG00000009830	POMT2	767	376	908	799	957	676
ENSG00000009844	VTA1	775	328	760	842	798	595
ENSG00000009950	MLXIPL	7	0	9	11	5	6
ENSG00000009954	BAZ1B	2950	1081	3164	2400	2393	2016
ENSG00000010017	RANBP9	127	57	135	160	149	118
ENSG00000010030	ETV7	3	0	3	0	0	1
ENSG00000010072	SPRTN	126	60	130	134	94	80
ENSG00000010165	METTL13	580	259	567	457	465	421
ENSG00000010219	DYRK4	44	35	38	52	40	30
ENSG00000010244	ZNF207	1626	816	1813	1372	1299	1189
ENSG00000010256	UQCRC1	668	430	831	892	802	733
ENSG00000010270	STARD3NL	128	66	100	84	117	87
ENSG00000010278	CD9	0	6	1	1	0	0
ENSG00000010282	HHATL	0	0	0	0	0	0
ENSG00000010292	NCAPD2	583	174	542	638	670	489
ENSG00000010295	IFFO1	1255	567	1493	882	693	608
ENSG00000010310	GIPR	362	98	318	248	336	247
ENSG00000010318	PHF7	187	89	191	161	196	178
ENSG00000010319	SEMA3G	96	50	125	105	80	79
ENSG00000010322	NISCH	428	241	484	372	378	310
ENSG00000010327	STAB1	2	0	1	0	1	0
ENSG00000010361	FUZ	2	1	4	1	4	2
ENSG00000010379	SLC6A13	4	1	2	2	4	3
ENSG00000010404	IDS	595	265	586	335	358	315
ENSG00000010438	PRSS3	0	0	0	0	0	0
ENSG00000010539	ZNF200	178	83	205	146	149	110
ENSG00000010610	CD4	429	163	428	282	313	215
ENSG00000010626	LRRC23	1125	377	1068	787	1241	843
ENSG00000010671	BTK	3524	1061	3609	2320	3671	2485
ENSG00000010704	HFE	2	2	3	2	1	1
ENSG00000010803	SCMH1	205	147	303	413	152	160
ENSG00000010810	FYN	760	301	669	539	489	467
ENSG00000010818	HIVEP2	5	4	2	5	6	6
ENSG00000010932	FMO1	8	1	10	5	5	6
ENSG00000011007	TCEB3	99	81	107	112	66	62
ENSG00000011009	LYPLA2	2158	770	2165	1677	1489	1348
ENSG00000011021	CLCN6	70	45	73	94	78	58
ENSG00000011028	MRC2	1807	810	1696	1983	1858	1657
ENSG00000011052	NME1-NME2	0	0	0	0	0	0
ENSG00000011083	SLC6A7	0	0	0	0	1	0
ENSG00000011105	TSPAN9	11	13	20	31	16	19
ENSG00000011114	BTBD7	778	386	786	593	398	338
ENSG00000011132	APBA3	88	37	74	72	68	66
ENSG00000011143	MKS1	151	92	197	257	151	117
ENSG00000011198	ABHD5	6	7	7	7	3	8
ENSG00000011243	AKAP8L	162	57	134	120	134	90
ENSG00000011258	MBTD1	274	120	202	214	217	139
ENSG00000011260	UTP18	447	276	587	659	507	504
ENSG00000011275	RNF216	613	241	582	390	476	360
ENSG00000011295	TTC19	2602	939	2795	2362	2329	1854
ENSG00000011304	PTBP1	6889	2899	7562	6102	7481	5696
ENSG00000011332	DPF1	0	0	1	0	0	0
ENSG00000011347	SYT7	0	1	0	0	0	0
ENSG00000011376	LARS2	146	61	198	184	125	109
ENSG00000011405	PIK3C2A	882	283	774	620	668	521
ENSG00000011422	PLAUR	224	107	270	578	277	210
ENSG00000011426	ANLN	150	62	133	154	167	130
ENSG00000011451	WIZ	185	116	215	195	134	141
ENSG00000011454	RABGAP1	343	178	333	287	300	252
ENSG00000011465	DCN	1	1	0	1	0	0
ENSG00000011478	QPCTL	2	2	2	3	3	2
ENSG00000011485	PPP5C	54	33	50	57	41	43
ENSG00000011523	CEP68	380	160	356	313	314	263
ENSG00000011566	MAP4K3	5	3	3	5	10	1
ENSG00000011590	ZBTB32	2	2	6	3	3	6
ENSG00000011600	TYROBP	5901	2374	5897	2306	2818	2125
ENSG00000011638	TMEM159	163	85	140	133	115	99
ENSG00000011677	GABRA3	1	0	0	0	0	0
ENSG00000012048	BRCA1	1385	544	1755	1274	1701	1195
ENSG00000012061	ERCC1	145	99	175	113	108	107
ENSG00000012124	CD22	5	2	3	3	4	4
ENSG00000012171	SEMA3B	9	5	14	12	22	4
ENSG00000012174	MBTPS2	145	76	148	157	170	131
ENSG00000012211	PRICKLE3	41	19	27	40	59	41
ENSG00000012223	LTF	1	0	0	0	0	0
ENSG00000012232	EXTL3	76	56	122	99	64	48
ENSG00000012504	NR1H4	0	0	0	0	0	0
ENSG00000012660	ELOVL5	1259	651	1337	1463	1411	1155
ENSG00000012779	ALOX5	8	5	16	3	1	3
ENSG00000012817	KDM5D	99	47	116	88	84	72
ENSG00000012822	CALCOCO1	115	48	79	55	69	62
ENSG00000012963	UBR7	256	116	300	331	280	234
ENSG00000012983	MAP4K5	257	117	289	281	240	211
ENSG00000013016	EHD3	0	0	0	0	0	0
ENSG00000013275	PSMC4	314	158	404	394	318	272
ENSG00000013288	MAN2B2	543	295	728	569	348	346
ENSG00000013293	SLC7A14	0	0	1	0	1	0
ENSG00000013297	CLDN11	4	1	4	1	3	2
ENSG00000013306	SLC25A39	936	383	1195	902	922	815
ENSG00000013364	MVP	175	97	147	67	103	104
ENSG00000013374	NUB1	1282	556	1359	1297	1130	1018
ENSG00000013375	PGM3	194	65	170	168	195	186
ENSG00000013392	RWDD2A	10	7	7	11	9	11
ENSG00000013441	CLK1	253	80	246	274	239	180
ENSG00000013503	POLR3B	138	72	154	174	126	109
ENSG00000013523	ANGEL1	15	21	24	16	16	23
ENSG00000013561	RNF14	67	32	141	219	71	70
ENSG00000013563	DNASE1L1	21	7	7	7	14	4
ENSG00000013573	DDX11	276	100	327	264	321	307
ENSG00000013583	HEBP1	622	308	686	707	508	524
ENSG00000013588	GPRC5A	0	1	1	1	3	0
ENSG00000013619	MAMLD1	0	0	0	1	0	0
ENSG00000013725	CD6	1	2	2	0	2	0
ENSG00000013810	TACC3	1040	536	1402	1283	789	971
ENSG00000014123	UFL1	1914	550	1744	1459	2157	1585
ENSG00000014138	POLA2	195	113	246	218	170	154
ENSG00000014164	ZC3H3	823	223	746	554	735	520
ENSG00000014216	CAPN1	790	433	983	835	573	625
ENSG00000014257	ACPP	22	13	23	6	5	5
ENSG00000014641	MDH1	1634	355	2010	2495	2759	1576
ENSG00000014824	SLC30A9	561	284	623	594	445	382
ENSG00000014914	MTMR11	95	43	78	79	106	72
ENSG00000014919	COX15	362	238	481	389	371	312
ENSG00000015133	CCDC88C	1156	486	1289	1025	1035	854
ENSG00000015153	YAF2	295	107	323	362	312	294
ENSG00000015171	ZMYND11	812	276	730	563	591	493
ENSG00000015285	WAS	751	437	897	767	424	507
ENSG00000015413	DPEP1	0	0	0	0	1	0
ENSG00000015475	BID	568	340	702	523	435	375
ENSG00000015479	MATR3	1544	633	1498	1510	1333	1253
ENSG00000015520	NPC1L1	1	0	1	1	0	0
ENSG00000015532	XYLT2	898	425	972	886	830	658
ENSG00000015568	RGPD5	2	2	1	2	0	0
ENSG00000015592	STMN4	0	0	0	1	0	0
ENSG00000015676	NUDCD3	1837	693	2045	1448	1745	1423
ENSG00000016082	ISL1	0	0	0	0	0	0
ENSG00000016391	CHDH	4	2	2	4	0	2
ENSG00000016402	IL20RA	7	1	6	2	2	1
ENSG00000016490	CLCA1	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	0	0	0	0
ENSG00000016864	GLT8D1	445	234	453	379	283	268
ENSG00000017260	ATP2C1	359	189	440	392	469	316
ENSG00000017427	IGF1	3	1	6	0	3	3
ENSG00000017483	SLC38A5	1148	357	1227	935	1296	925
ENSG00000017797	RALBP1	1109	573	1054	1039	1014	800
ENSG00000018189	RUFY3	34	20	38	34	40	37
ENSG00000018236	CNTN1	0	0	0	0	1	0
ENSG00000018280	SLC11A1	264	124	290	338	384	279
ENSG00000018408	WWTR1	193	137	223	217	180	128
ENSG00000018510	AGPS	343	204	400	464	330	310
ENSG00000018607	ZNF806	0	0	0	0	0	0
ENSG00000018610	CXorf56	162	79	188	147	159	102
ENSG00000018625	ATP1A2	14	7	12	5	7	6
ENSG00000018699	TTC27	30	17	29	42	33	21
ENSG00000018869	ZNF582	6	5	3	9	3	7
ENSG00000019102	VSIG2	62	17	55	31	43	27
ENSG00000019144	PHLDB1	12	2	4	2	8	2
ENSG00000019169	MARCO	7	2	4	4	2	3
ENSG00000019186	CYP24A1	27	6	19	10	22	11
ENSG00000019485	PRDM11	10	7	7	5	5	3
ENSG00000019505	SYT13	0	0	0	0	0	0
ENSG00000019549	SNAI2	0	0	0	0	0	0
ENSG00000019582	CD74	6851	2089	6507	2576	4208	2959
ENSG00000019991	HGF	20	6	20	22	17	18
ENSG00000019995	ZRANB1	310	129	306	244	253	225
ENSG00000020129	NCDN	234	87	279	157	188	153
ENSG00000020219	CCT8L1P	0	0	0	0	0	0
ENSG00000020256	ZFP64	128	48	161	145	116	105
ENSG00000020426	MNAT1	144	85	171	253	170	145
ENSG00000020577	SAMD4A	2	1	1	1	1	0
ENSG00000020633	RUNX3	1048	522	1209	967	842	775
ENSG00000020922	MRE11A	629	253	663	587	611	540
ENSG00000021300	PLEKHB1	12	5	11	6	7	11
ENSG00000021355	SERPINB1	1848	1033	2131	1812	1290	1444
ENSG00000021461	CYP3A43	2	0	0	1	1	0
ENSG00000021488	SLC7A9	1	0	0	0	0	0
ENSG00000021574	SPAST	160	52	159	138	118	93
ENSG00000021645	NRXN3	0	0	0	1	1	1
ENSG00000021762	OSBPL5	1046	597	1401	1254	951	899
ENSG00000021776	AQR	264	105	304	213	234	184
ENSG00000021826	CPS1	0	0	1	1	0	0
ENSG00000021852	C8B	0	0	0	0	1	0
ENSG00000022267	FHL1	79	50	85	86	88	81
ENSG00000022277	RTFDC1	3587	1274	3355	2585	2929	2239
ENSG00000022355	GABRA1	20	7	12	11	10	19
ENSG00000022556	NLRP2	1	0	0	1	1	1
ENSG00000022567	SLC45A4	289	131	313	225	180	177
ENSG00000022840	RNF10	1849	963	2139	2337	1415	1458
ENSG00000022976	ZNF839	70	60	78	90	42	57
ENSG00000023041	ZDHHC6	288	116	253	188	205	162
ENSG00000023171	GRAMD1B	130	103	197	167	110	96
ENSG00000023191	RNH1	1191	678	1322	1148	1057	1015
ENSG00000023228	NDUFS1	587	263	696	579	554	469
ENSG00000023287	RB1CC1	1231	455	1074	794	1038	842
ENSG00000023318	ERP44	319	193	345	328	284	225
ENSG00000023330	ALAS1	34	20	47	88	46	44
ENSG00000023445	BIRC3	18	5	13	14	14	13
ENSG00000023516	AKAP11	173	67	194	122	124	127
ENSG00000023572	GLRX2	259	136	292	350	280	257
ENSG00000023608	SNAPC1	373	131	312	415	478	361
ENSG00000023697	DERA	16	10	14	25	11	10
ENSG00000023734	STRAP	446	298	664	596	434	441
ENSG00000023839	ABCC2	16	8	17	18	12	9
ENSG00000023892	DEF6	593	311	676	686	656	593
ENSG00000023902	PLEKHO1	71	30	101	36	46	21
ENSG00000023909	GCLM	228	72	273	233	243	168
ENSG00000024048	UBR2	590	245	565	445	528	449
ENSG00000024422	EHD2	5	2	5	3	5	5
ENSG00000024526	DEPDC1	104	61	92	136	141	141
ENSG00000024862	CCDC28A	983	366	876	983	881	664
ENSG00000025039	RRAGD	1479	628	1513	1226	1231	1223
ENSG00000025156	HSF2	1163	539	1308	2131	1308	1122
ENSG00000025293	PHF20	930	409	1011	826	994	742
ENSG00000025423	HSD17B6	15	6	26	24	24	21
ENSG00000025434	NR1H3	69	30	71	54	76	57
ENSG00000025708	TYMP	495	167	473	145	307	194
ENSG00000025770	NCAPH2	2132	733	2333	1684	2394	1706
ENSG00000025772	TOMM34	854	370	956	945	666	672
ENSG00000025796	SEC63	2532	1335	2688	2661	2274	1965
ENSG00000025800	KPNA6	1306	551	1524	1192	1184	1053
ENSG00000026025	VIM	2301	1164	1831	677	1066	750
ENSG00000026036	RTEL1-TNFRSF6B	0	1	2	0	0	0
ENSG00000026103	FAS	28	12	30	29	36	22
ENSG00000026297	RNASET2	1649	1286	1836	1700	1080	1141
ENSG00000026508	CD44	3669	1614	3528	3238	3088	2738
ENSG00000026559	KCNG1	4	2	6	14	11	15
ENSG00000026652	AGPAT4	126	83	150	158	132	134
ENSG00000026751	SLAMF7	0	1	3	1	0	0
ENSG00000026950	BTN3A1	331	143	320	339	441	363
ENSG00000027001	MIPEP	81	34	105	98	105	69
ENSG00000027075	PRKCH	6	3	6	6	11	14
ENSG00000027644	INSRR	0	0	0	0	0	0
ENSG00000027697	IFNGR1	24	21	33	41	20	24
ENSG00000027847	B4GALT7	579	289	668	453	344	359
ENSG00000027869	SH2D2A	157	83	192	118	120	115
ENSG00000028116	VRK2	654	248	601	441	711	565
ENSG00000028137	TNFRSF1B	7813	2937	7955	5496	5497	4156
ENSG00000028203	VEZT	212	71	244	208	250	158
ENSG00000028277	POU2F2	3215	1403	3316	2992	3022	2391
ENSG00000028310	BRD9	1977	730	2221	1543	1592	1253
ENSG00000028528	SNX1	512	224	634	633	411	368
ENSG00000028839	TBPL1	22	47	65	61	25	17
ENSG00000029153	ARNTL2	33	18	44	33	32	32
ENSG00000029363	BCLAF1	2979	1224	3021	2302	2166	1851
ENSG00000029364	SLC39A9	501	210	509	507	428	435
ENSG00000029534	ANK1	4	8	6	5	3	4
ENSG00000029559	IBSP	0	0	0	0	0	0
ENSG00000029639	TFB1M	63	36	82	138	66	64
ENSG00000029725	RABEP1	774	314	794	695	675	544
ENSG00000029993	HMGB3	550	218	661	535	586	494
ENSG00000030066	NUP160	70	39	114	87	92	78
ENSG00000030110	BAK1	122	51	129	105	171	105
ENSG00000030304	MUSK	0	0	1	0	0	0
ENSG00000030419	IKZF2	1	0	2	0	0	0
ENSG00000030582	GRN	44275	12422	37378	14152	19248	13360
ENSG00000031003	FAM13B	473	185	481	247	314	253
ENSG00000031081	ARHGAP31	60	23	74	45	51	32
ENSG00000031691	CENPQ	238	92	263	270	224	221
ENSG00000031698	SARS	1844	639	1677	1794	1774	1484
ENSG00000031823	RANBP3	346	104	367	347	313	255
ENSG00000032219	ARID4A	1948	768	1802	1493	1513	1289
ENSG00000032389	TSSC1	365	239	382	453	293	322
ENSG00000032444	PNPLA6	237	90	265	159	181	163
ENSG00000032742	IFT88	115	47	111	96	111	81
ENSG00000033011	ALG1	39	9	50	22	35	26
ENSG00000033030	ZCCHC8	311	123	353	311	322	274
ENSG00000033050	ABCF2	348	191	454	376	367	323
ENSG00000033100	CHPF2	43	33	47	51	14	24
ENSG00000033122	LRRC7	14	3	13	10	17	8
ENSG00000033170	FUT8	111	30	86	59	52	55
ENSG00000033178	UBA6	357	152	384	361	440	309
ENSG00000033327	GAB2	816	348	1034	865	832	581
ENSG00000033627	ATP6V0A1	516	193	493	369	321	272
ENSG00000033800	PIAS1	292	115	269	212	217	192
ENSG00000033867	SLC4A7	690	257	728	650	629	626
ENSG00000034053	APBA2	213	99	245	169	164	131
