id	sym	NKX2_positive_1	NKX2_positive_2	NKX2_positive_3	NKX2_negative_1	NKX2_negative_2	NKX2_negative_3
ENSMUSG00000000562	Adora3	34.68	47.13	47.05	40.5	27.73	14.21
ENSMUSG00000000563	Atp5f1	4790.04	5323	5976.3	3549	3708.64	680
ENSMUSG00000000567	Sox9	33	7.11	3	263.08	156	31
ENSMUSG00000000568	Hnrnpd	624.04	526	476.41	566.59	612.16	137.49
ENSMUSG00000000579	Dynlt1c	340.86	571.28	498.16	385.75	354.97	168.24
ENSMUSG00000000581	C1d	525.95	435	474.99	606	632	100
ENSMUSG00000000594	Gm2a	2166.03	728.08	589	359	153	59.07
ENSMUSG00000000600	Krit1	1179.9	1665.85	1657.66	1142.87	1039.02	425.64
ENSMUSG00000000605	Clcn4	1804.11	1353	1519.26	1220.01	1236.44	210
ENSMUSG00000000606	Vmn2r88	0	1	0	0	0	1
ENSMUSG00000000617	Grm6	0	0	0	2.03	0	5.75
ENSMUSG00000000627	Sema4f	274.31	129	230.76	23.45	25.4	7
ENSMUSG00000000628	Hk2	2680	2115.79	1338.45	2365.11	1862.99	177.02
ENSMUSG00000000631	Myo18a	4000.79	2170.81	2273.42	2805	2803.04	435.66
ENSMUSG00000000632	Sez6	8.91	4.94	2.33	4	3.66	6.31
ENSMUSG00000000673	Haao	6	1	1	0	0	0
ENSMUSG00000000682	Cd52	244	62	28	25	5	2
ENSMUSG00000000686	Abhd15	48.96	5.93	4	9	2	3
ENSMUSG00000000690	Hoxb6	1	0	0	0	0	0
ENSMUSG00000000693	Loxl3	26	4	14	3	2	0
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	1.01	2.01	1.1	1.24	2.52	2.88
ENSMUSG00000000708	Kat2b	2509.23	2620.01	2500.98	1845.87	1836.73	382
ENSMUSG00000000711	Rab5b	2826.55	1995.57	2099	1723.83	1866.3	352
ENSMUSG00000000724	Cryba1	0	8.26	3.77	1.8	6.9	1.03
ENSMUSG00000000730	Dnmt3l	3	0	0	0	0	0
ENSMUSG00000000731	Aire	1	11.26	6.59	8.1	8.32	0
ENSMUSG00000000732	Icosl	125	26	32	125	154	21
ENSMUSG00000000738	Spg7	742.42	352.64	423.72	1019.88	1129.38	187.05
ENSMUSG00000000739	Sult5a1	14	2	0	0	0	0
ENSMUSG00000000740	Rpl13	5756.54	3999.74	5888.61	6873.6	6789.34	1087.62
ENSMUSG00000000743	Chmp1a	1500.99	685.05	763.3	1688	2106	304
ENSMUSG00000000751	Rpa1	852	437	616	528	532	95
ENSMUSG00000000753	Serpinf1	233.03	209	245	42	59	15
ENSMUSG00000000759	Tubgcp3	883.41	798.9	819.42	595.66	569.31	125.49
ENSMUSG00000000766	Oprm1	0	0	0	0	0	2
ENSMUSG00000000776	Polr3d	456	239	215	301	303	62
ENSMUSG00000000782	Tcf7	58	8	13	30	26	10
ENSMUSG00000000791	Il12rb1	24	4	7	4.88	4	2
ENSMUSG00000000792	Slc5a5	21	13	28	20	6	0
ENSMUSG00000000794	Kcnn3	1482	104	90	75	25	14
ENSMUSG00000000804	Usp32	2055	1672.93	1532.02	1128.12	868.06	176
ENSMUSG00000000805	Car4	2389	61	71	106	1	15
ENSMUSG00000000811	Txnrd3	590	646.78	592	266	299	77
ENSMUSG00000000817	Fasl	17	6	5	1	4	1
ENSMUSG00000000823	Zfp512b	736.77	484.95	481	403.56	456.89	66.88
ENSMUSG00000000826	Dnajc5	2980.56	1777.66	1693.54	2369.01	2338.03	393.54
ENSMUSG00000000827	Tpd52l2	1699.53	1290	1356.65	1157.62	1166	230.06
ENSMUSG00000000861	Bcl11a	7	0	2	1	0	3
ENSMUSG00000000869	Il4	4	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	390.73	331.25	358	318.08	351.64	69.02
ENSMUSG00000000884	Gnb1l	72.66	23	37	58	54	9
ENSMUSG00000000889	Dbh	0	0	0	1	0	0
ENSMUSG00000000901	Mmp11	535	223	218.08	31	42	9
ENSMUSG00000000902	Smarcb1	1011.48	537.61	709.18	545.52	569.97	130.18
ENSMUSG00000000903	Vpreb3	14	7	5	4	7	0
ENSMUSG00000000915	Hip1r	2366.63	1644.85	1440.21	2541.22	2583.03	492.45
ENSMUSG00000000916	Nsun5	135.24	62	94	85	77	22.99
ENSMUSG00000000934	Top1mt	92	82	56	128	157	20
ENSMUSG00000000938	Hoxa10	0	0	0	0	0	0
ENSMUSG00000000942	Hoxa4	2	0	0	1	0	0
ENSMUSG00000000948	Gm38393	16.3	39.42	41.1	9.39	3.81	9.59
ENSMUSG00000000957	Mmp14	846	291	346	776	801.08	152
ENSMUSG00000000958	Slc7a7	202.99	111.94	144	175.96	183	36
ENSMUSG00000000959	Oxa1l	586.45	378	418	652	743	132.19
ENSMUSG00000000976	Heatr6	417.38	283.58	335.43	347.84	284.82	71.55
ENSMUSG00000000982	Ccl3	742	46	70	144	16	23
ENSMUSG00000000983	Wfdc18	7	1	0	74	44	7
ENSMUSG00000001014	Icam4	43	28.7	41	9	9	1
ENSMUSG00000001016	Ilf2	989.24	782.55	943.26	752.91	722.45	156.45
ENSMUSG00000001017	Chtop	1609	1152	1361.07	1349	1338	220
ENSMUSG00000001018	Snapin	816.23	799.03	628.24	513.36	556.44	104
ENSMUSG00000001020	S100a4	318	59	56	71	37	16
ENSMUSG00000001021	S100a3	11.92	10.7	13.71	11.79	12.27	8.72
ENSMUSG00000001023	S100a5	0	0	0	2	18	0
ENSMUSG00000001025	S100a6	8677.87	2394.95	2010.04	22881.67	28468.37	2992
ENSMUSG00000001027	Scn4a	12	0	5	8	1	1
ENSMUSG00000001029	Icam2	105	16	23	13	2	0
ENSMUSG00000001034	Mapk7	264.99	107	89	146	126	24
ENSMUSG00000001036	Epn2	1180	761.99	688.01	692.97	657	122.41
ENSMUSG00000001039	B9d1	141	72	171	59	63	22
ENSMUSG00000001052	Sec24b	808	490.79	430	504	424	125
ENSMUSG00000001053	N4bp3	211	57	91	331.19	326	46
ENSMUSG00000001054	Rmnd5b	376	252	212	269.31	292.4	53
ENSMUSG00000001056	Nhp2	628	368	518	413	411.43	62
ENSMUSG00000001062	Vps9d1	267.8	111.98	141.63	155.25	157.02	40.69
ENSMUSG00000001065	Zfp276	436.16	217	228	358	315	72
ENSMUSG00000001076	C1ql4	0	1	0	0	0	1
ENSMUSG00000001082	Mfsd10	329	139.68	163	308	303	46
ENSMUSG00000001089	Luzp1	1408	897	948	1791.01	1640	301
ENSMUSG00000001095	Slc13a2	22	12	7	14	16	10
ENSMUSG00000001098	Kctd10	3916.05	2402.06	2578	2445.5	2516.92	445
ENSMUSG00000001100	Poldip2	1282.93	1145.36	1089.2	823.33	789.56	186.61
ENSMUSG00000001103	Sebox	0	0	0	0	0	0
ENSMUSG00000001105	Ift20	1018.13	1231.05	1589.35	485.68	440.15	109.31
ENSMUSG00000001119	Col6a1	1876.1	1415.97	437	280	207	29
ENSMUSG00000001120	Pcbp3	29	16	3	16	16	4
ENSMUSG00000001123	Lgals9	728	428	473.02	1499.8	1854.97	347
ENSMUSG00000001138	Cnnm3	425.82	201.37	174.52	248.84	245.97	53.75
ENSMUSG00000001143	Lman2l	390.02	262.28	268	181.57	187.48	54.13
ENSMUSG00000001150	Mcm3ap	953	485	627	572	518	75
ENSMUSG00000001151	Pcnt	4696.55	3200.79	3437.51	1310	1281.52	221
ENSMUSG00000001155	Ftcd	39.28	58.63	63.42	20.23	39.47	23.6
ENSMUSG00000001156	Mxd1	1943.72	884.82	956.84	2192.23	2038.36	365.06
ENSMUSG00000001157	Gmcl1	406.31	265.1	340.62	383.65	390.16	62.42
ENSMUSG00000001158	Snrnp27	438	415.99	520	281	326	60
ENSMUSG00000001166	Oas1c	115.44	129.99	95.67	125.98	147.89	24
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0
ENSMUSG00000001175	Calm1	21556.27	11612.5	15386.58	12439.43	14239.5	2388.13
ENSMUSG00000001211	Agpat3	1693	1348.01	1092	945	906	154
ENSMUSG00000001225	Slc26a3	7.42	21.27	13.44	21.06	49.52	28.51
ENSMUSG00000001227	Sema6b	150.05	50.98	36	61	70	10
ENSMUSG00000001228	Uhrf1	307.96	29	199	163	182.11	16
ENSMUSG00000001229	Dpp9	1816.49	1084	1055.37	745	648.17	152
ENSMUSG00000001240	Ramp2	89	7	17	13	0	3
ENSMUSG00000001247	Lsr	1823	854.08	1015	3998	4801.19	759.89
ENSMUSG00000001248	Gramd1a	790	326	420	322	230	57
ENSMUSG00000001249	Hpn	706	585.92	650	939	1035	139
ENSMUSG00000001260	Gabrg1	1	9.01	5.84	0	0	2
ENSMUSG00000001270	Ckb	238	29	45	41	43	14
ENSMUSG00000001280	Sp1	2185.92	1525.98	1701.81	1928.23	1988	426
ENSMUSG00000001281	Itgb7	234	11	16	53	27	3
ENSMUSG00000001285	Myg1	380.65	260.79	337.1	339.22	340.24	65.19
ENSMUSG00000001288	Rarg	647	272.07	258.05	545	468.88	102
ENSMUSG00000001289	Pfdn5	2453.34	2564.21	2596.9	2422.77	2748.75	510.81
ENSMUSG00000001300	Efnb2	631.21	187	369.74	1781.63	894.99	259.93
ENSMUSG00000001305	Rrp15	254.4	191.17	226.86	235.92	213.15	57.1
ENSMUSG00000001313	Rnd2	45	15	25	66	66	11
ENSMUSG00000001323	Srr	236	266.67	279.06	189.73	192.1	42.33
ENSMUSG00000001333	Sync	9.31	3.31	3.12	6	3	0
ENSMUSG00000001334	Fndc5	6	1	3	0	0	0
ENSMUSG00000001348	Acp5	1020	64	88	1146	1143.92	162
ENSMUSG00000001349	Cnn1	6	4	7	10	9	4.87
ENSMUSG00000001366	Fbxo9	1135	1270	1165.11	863.53	971	164
ENSMUSG00000001376	Vps50	1112.92	1136.69	1173.43	1015.52	1002.7	295.41
ENSMUSG00000001380	Hars	988.08	731.01	745.92	823.53	791.07	131
ENSMUSG00000001383	Zmat2	572	489.45	563	554	592.05	105
ENSMUSG00000001403	Ube2c	58.17	18.34	93.34	82.27	71.53	18
ENSMUSG00000001415	Smg5	1603.15	785.22	947.34	1221.53	1004.46	177.43
ENSMUSG00000001416	Cct3	3150.52	1924.54	2654.14	2534.76	2353.01	417.03
ENSMUSG00000001418	Glmp	1379.04	775.68	885.01	1033.98	1111.24	194.39
ENSMUSG00000001419	Mef2d	699	393	358.98	634	602	123
ENSMUSG00000001420	Tmem79	300	191	196	420	513.22	76.67
ENSMUSG00000001424	Snd1	5270.72	3024.95	3003.35	3189.59	2968.3	580.6
ENSMUSG00000001435	Col18a1	1146.35	422.15	224.33	1810.42	1942.89	149
ENSMUSG00000001436	Slc19a1	96	41	47	96	132	10
ENSMUSG00000001440	Kpnb1	4057	2096.96	2680.99	3694.99	3374.04	635
ENSMUSG00000001441	Npepps	1558	817.56	732.71	1474.65	1335.04	272.25
ENSMUSG00000001444	Tbx21	15	0	1	0	0	0
ENSMUSG00000001445	Mrpl10	616.48	340.69	415.13	532.45	657.48	103.91
ENSMUSG00000001467	Cyp51	1254.04	1212.16	1889.03	1622.17	1999.36	195.4
ENSMUSG00000001472	Tcf25	4366.06	2792.66	2800.06	3654	4027.44	632
ENSMUSG00000001473	Tubb6	607.95	133.81	403.91	191	103.99	14
ENSMUSG00000001482	Def8	289.15	157.23	159.83	153.68	187.76	25.62
ENSMUSG00000001493	Meox1	20	14	17	4	2	3
ENSMUSG00000001494	Sost	1	0	0	0	0	0
ENSMUSG00000001496	Nkx2-1	1581.08	1439.82	1088.66	395.24	368.73	82.42
ENSMUSG00000001497	Pax9	10.72	5.49	2.38	421.16	392.74	49.44
ENSMUSG00000001504	Irx2	2289.09	2144.21	2166.76	1306.24	1124.82	242.57
ENSMUSG00000001506	Col1a1	705	17	34	59	0	12
ENSMUSG00000001507	Itga3	5393	1174.62	1425	3230	3533.17	513
ENSMUSG00000001508	Sgca	0	0	1	0	0	0
ENSMUSG00000001510	Dlx3	0	0	0	0	0	0
ENSMUSG00000001517	Foxm1	113	38	65.93	43	37	10
ENSMUSG00000001518	Itfg2	361.79	357.06	366.97	316.48	314.47	84.39
ENSMUSG00000001520	Nrip2	12.53	14.17	24.4	2.31	9.11	1.34
ENSMUSG00000001521	Tulp3	182.26	136.2	118.54	104.31	82.7	45.67
ENSMUSG00000001524	Gtf2h4	119	69	113	107	130.98	32
ENSMUSG00000001525	Tubb5	5678.94	1703.3	2960.38	3423.72	3489.47	614.03
ENSMUSG00000001542	Ell2	1860.38	1474.58	1829.19	1201.71	1008.18	176.62
ENSMUSG00000001552	Jup	3726.12	1144	1616.75	5335.33	5224.62	911.54
ENSMUSG00000001555	Fkbp10	89	21	22	11	10	3
ENSMUSG00000001558	Klhl10	3	7	7	4	2	1
ENSMUSG00000001566	Mnx1	0	0	0	0	0	0
ENSMUSG00000001569	Nom1	806.4	784.52	687.1	699.31	639.12	206.04
ENSMUSG00000001576	Ergic1	1286	507	598	1528.27	1520	274
ENSMUSG00000001583	Tnk1	395.08	240.09	159.73	714.19	775.09	161.23
ENSMUSG00000001588	Acap1	100.78	8	10.01	8	0	7
ENSMUSG00000001604	Tcea3	94	29.48	84	673	1053	147
ENSMUSG00000001622	Csn3	3	7.88	0	2.89	2.55	0
ENSMUSG00000001627	Ifrd1	5900.82	7004.95	8013.58	14214.17	13947.05	2092.11
ENSMUSG00000001630	Stk38l	693.01	739.93	763.78	820.75	675.72	106.52
ENSMUSG00000001632	Brpf1	1088.37	373.93	363.56	764.91	685.65	126.84
ENSMUSG00000001642	Akr1b3	2011.44	1152.94	1266.89	1188.92	1039.69	210.31
ENSMUSG00000001655	Hoxc13	0	0	0	0	0	0
ENSMUSG00000001656	Hoxc11	0	0	0	0	0	0
ENSMUSG00000001657	Hoxc8	0	3.28	0	1.21	0	1.11
ENSMUSG00000001661	Hoxc6	0	0	0	1	0	1
ENSMUSG00000001663	Gstt1	1097	1454	1942.93	1265	1524	232
ENSMUSG00000001665	Gstt3	903.38	1113.75	1051.23	1046.05	1138.07	178.68
ENSMUSG00000001666	Ddt	259	314.27	382	243	281.46	41
ENSMUSG00000001670	Tat	0	0	0	0	0	1
ENSMUSG00000001672	Marveld3	449	333	413	586	412	97
ENSMUSG00000001674	Ddx18	480.89	304.92	371.14	411	306.29	72.9
ENSMUSG00000001687	Ubl3	4279.77	2960.97	2732.81	2468.11	2565.95	498.6
ENSMUSG00000001700	Gramd3	199	219	236	367	373	98
ENSMUSG00000001707	Eef1e1	275.37	201	299	289	238	47
ENSMUSG00000001729	Akt1	3734.58	1717.08	1713.11	2398.13	2616.1	403.5
ENSMUSG00000001739	Cldn15	16	5	13	9	6	3.73
ENSMUSG00000001741	Il16	269.98	39.13	25.08	15.78	9.05	8.03
ENSMUSG00000001750	Tcirg1	1616.57	310.32	312.62	699.99	595.18	116.07
ENSMUSG00000001751	Naglu	792	173.29	261	460	433	70
ENSMUSG00000001755	Coasy	596	437	433.51	375	461	81
ENSMUSG00000001761	Smo	244.96	116.63	285.26	181.27	203.14	31.02
ENSMUSG00000001763	Tspan33	27.83	10.76	17.01	114.05	109.77	19.26
ENSMUSG00000001767	Crnkl1	870.44	619.95	735.99	560	488	109
ENSMUSG00000001768	Rin2	2760	2044	1520.26	1296	1305.99	269
ENSMUSG00000001773	Folh1	0	0	0	0	0	0
ENSMUSG00000001774	Chordc1	961	1047.09	1347.74	883	595	125
ENSMUSG00000001783	Rtcb	2399.99	2170.69	2471	2327	2494	436
ENSMUSG00000001785	Pwp1	642.01	481	465	628.01	585.61	82.29
ENSMUSG00000001786	Fbxo7	288	264	269	269.09	277	40
ENSMUSG00000001794	Capns1	3422	1637.71	1850	3740.33	4316.95	720
ENSMUSG00000001802	Lrp3	53	19	16	0	6	3
ENSMUSG00000001804	Dsg4	0	0	0	0	0	0
ENSMUSG00000001815	Evx2	0	0	0	0	0	0
ENSMUSG00000001819	Hoxd13	0	0	0	0	0	1
ENSMUSG00000001823	Hoxd12	0	0	0	0	0	2
ENSMUSG00000001827	Folr1	1	0	0	4	1	1
ENSMUSG00000001829	Clpb	841.1	673.51	781.41	580.95	513	109.97
ENSMUSG00000001833	Sept7	3529.15	3283.36	4736.87	2621	2496.98	505
ENSMUSG00000001844	Zdhhc4	259	221	184	225	238	38
ENSMUSG00000001847	Rac1	5264.07	2084	2311	3574.21	3680.44	730.02
ENSMUSG00000001855	Nup214	1499.37	1119.01	993.31	465.26	385.89	123.46
ENSMUSG00000001864	Aif1l	222	238	246.81	18	13	7
ENSMUSG00000001865	Cpa3	4	0	0	0	0	1
ENSMUSG00000001870	Ltbp1	394.3	345.02	236.79	873.49	969.33	239.19
ENSMUSG00000001891	Ugp2	2759.12	2192	2512	1724.8	1690	336
ENSMUSG00000001901	Kcnh6	0	0	5	0	0	0
ENSMUSG00000001909	Trmt1	566.33	255.03	344.3	594.2	641.54	112
ENSMUSG00000001910	Nacc1	1218.61	585.66	614	928	1109.55	191
ENSMUSG00000001911	Nfix	839.01	438.77	518.09	355	308.27	87.08
ENSMUSG00000001918	Slc1a5	3616	2939.01	3237.89	948.47	950.97	196.22
ENSMUSG00000001930	Vwf	826.19	156.31	148.56	209.46	79.01	45.96
ENSMUSG00000001942	Siae	357	259	293	338	319	71
ENSMUSG00000001943	Vsig2	628.01	706.12	784.99	5156.69	6773.19	885
ENSMUSG00000001946	Esam	1070.02	861	1188	297	233	52
ENSMUSG00000001948	Spa17	46	29	47	11	15	9
ENSMUSG00000001983	Taco1	101	81	113	95	83	23
ENSMUSG00000001985	Grik3	1.95	3.46	2.02	2	1.01	3
ENSMUSG00000001988	Npas1	0	0	0	0	0	0
ENSMUSG00000001995	Sipa1l2	423	220	212	306	317	59
ENSMUSG00000001998	Ap4e1	525.33	610.07	502.93	417.42	453.66	85.14
ENSMUSG00000001999	Blvra	760.02	222.3	262	310	332.01	45.42
ENSMUSG00000002017	Fam98a	196	214	298	219.06	145	37
ENSMUSG00000002020	Ltbp2	1071.02	86.25	47	141.61	56	14
ENSMUSG00000002028	Kmt2a	1682.98	1031.35	964.86	1030	859.18	237
ENSMUSG00000002031	Ift46	533.79	559.07	575.9	532.96	521.91	106.94
ENSMUSG00000002032	Tmem25	14	24	25	54	43	11
ENSMUSG00000002033	Cd3g	78	13	6	11	0	1
ENSMUSG00000002043	Trappc6a	397	263	282	309	296	40
ENSMUSG00000002052	Supt6	2247.24	1360.84	1409.8	2363.13	2249.56	458.39
ENSMUSG00000002055	Spag5	152.56	38.61	144.62	138.69	170.28	16.2
ENSMUSG00000002057	Foxn1	1	0	0	1	0	0
ENSMUSG00000002058	Unc119	992	446.93	344	292	274	70
ENSMUSG00000002059	Rab34	447.75	498.66	475.76	142.26	148.16	32.35
ENSMUSG00000002064	Sdf2	773.03	726.21	869.13	1023.24	1132.88	180.75
ENSMUSG00000002068	Ccne1	75	15	44	24	13	1
ENSMUSG00000002076	Hsf2bp	9.09	6.01	12	21	28	9
ENSMUSG00000002083	Bbc3	176	80	107	116	143	18
ENSMUSG00000002100	Mybpc3	13	1	0	4	0	1
ENSMUSG00000002102	Psmc3	2132.28	1449.92	1806	1993.98	2247	371
ENSMUSG00000002103	Acp2	1364.14	825.16	940.25	679.91	670.51	107.85
ENSMUSG00000002104	Rapsn	17	8	10	1	0	1
ENSMUSG00000002105	Slc39a13	333	221.09	198	150	149.59	31
ENSMUSG00000002107	Celf2	1279.49	700.38	652.34	252.11	167.87	32.52
ENSMUSG00000002108	Nr1h3	337	178	188	138	147	25
ENSMUSG00000002109	Ddb2	269.01	393.01	305.77	296.87	302.86	69.9
ENSMUSG00000002111	Spi1	868	22	17	52	1	7
ENSMUSG00000002129	Sf3a1	857	324	334	714.04	683	122
ENSMUSG00000002147	Stat6	3067	1623.19	1690	1991.01	2196	437
ENSMUSG00000002190	Clgn	4	0	1	0	0	0
ENSMUSG00000002204	Napsa	15658.5	17728.36	21592.3	3051.06	2047.25	673.42
ENSMUSG00000002205	Vrk3	753	511	544	584	537	119
ENSMUSG00000002210	Smg9	318.59	167.31	149	313.21	293.37	57.36
ENSMUSG00000002221	Paxip1	528.34	376.68	357.44	425.29	430.47	93.02
ENSMUSG00000002222	Rmnd5a	2431.64	1746.97	2114.09	1870.99	1749	378
ENSMUSG00000002227	Mov10	237.03	125	132	339.72	417.09	87.17
ENSMUSG00000002228	Ppm1j	26	3	3	62	72	3
ENSMUSG00000002233	Rhoc	494	134	159	1004	1229	201
ENSMUSG00000002240	Prr27	0	0	0	0	0	1
ENSMUSG00000002249	Tead3	369	189	190.07	210	223.01	47.94
ENSMUSG00000002250	Ppard	268	72	74	354	345	38
ENSMUSG00000002257	Def6	187	9	25	43	28	8
ENSMUSG00000002265	Peg3	18	8	4	21	8	7
ENSMUSG00000002266	Zim1	1	0.75	0.79	0	0.08	1.76
ENSMUSG00000002274	Metrn	79	21	24	13	8	3
ENSMUSG00000002279	Lmf1	305.75	241.48	206.1	248.45	276.79	45.4
ENSMUSG00000002280	Narfl	401	208	200	229	252.01	44
ENSMUSG00000002289	Angptl4	807.04	85	44	1579.77	870	102
ENSMUSG00000002297	Dbf4	491.44	440.22	655.58	291.01	260.25	50
ENSMUSG00000002307	Daxx	457.99	205.43	209	298	353	59
ENSMUSG00000002308	Cd320	206	199	334	135	86	18
ENSMUSG00000002319	Ipo4	723.55	290.23	343	469	476.13	76
