id	sym	T98G_KO1	T98G_KO2	T98G_KO3	T98G_WT1	T98G_WT2	T98G_WT3
ENSG00000004864	SLC25A13	677	712	667	581	634	552
ENSG00000004866	ST7	199	220	171	212	191	239
ENSG00000004897	CDC27	2388	2361	2136	2267	2275	2293
ENSG00000004939	SLC4A1	0	0	0	0	0	0
ENSG00000004948	CALCR	0	0	0	0	0	0
ENSG00000004961	HCCS	249	231	243	224	272	277
ENSG00000004975	DVL2	344	401	374	429	416	393
ENSG00000005001	PRSS22	1	0	1	0	0	0
ENSG00000005007	UPF1	939	1030	1019	1144	1112	949
ENSG00000005020	SKAP2	164	163	138	141	164	151
ENSG00000005022	SLC25A5	2753	3262	3265	3445	3435	3271
ENSG00000005073	HOXA11	0	2	0	2	2	3
ENSG00000005075	POLR2J	278	235	318	258	327	264
ENSG00000005100	DHX33	715	838	718	664	722	722
ENSG00000005102	MEOX1	1	0	1	0	0	1
ENSG00000005108	THSD7A	0	1	1	2	3	1
ENSG00000005156	LIG3	364	400	350	493	589	592
ENSG00000005175	RPAP3	514	567	505	488	587	543
ENSG00000005187	ACSM3	58	57	68	66	75	76
ENSG00000005194	CIAPIN1	512	551	484	542	590	466
ENSG00000005206	SPPL2B	172	187	190	244	232	220
ENSG00000005238	FAM214B	190	193	203	284	291	259
ENSG00000005243	COPZ2	152	178	158	246	206	211
ENSG00000005249	PRKAR2B	142	121	94	94	77	94
ENSG00000005302	MSL3	316	308	265	248	288	263
ENSG00000005339	CREBBP	1438	1366	1394	1620	1699	1763
ENSG00000005381	MPO	0	0	0	0	0	0
ENSG00000005421	PON1	0	0	0	0	0	0
ENSG00000005436	GCFC2	132	139	158	149	175	162
ENSG00000005448	WDR54	157	171	152	187	191	188
ENSG00000005469	CROT	434	464	369	474	403	437
ENSG00000005471	ABCB4	0	3	2	2	1	2
ENSG00000005483	KMT2E	472	437	411	433	446	507
ENSG00000005486	RHBDD2	304	272	341	297	366	269
ENSG00000005513	SOX8	0	0	0	0	0	0
ENSG00000005700	IBTK	379	369	368	403	375	436
ENSG00000005801	ZNF195	252	266	219	249	241	253
ENSG00000005810	MYCBP2	609	631	581	601	738	806
ENSG00000005812	FBXL3	455	470	422	450	456	436
ENSG00000005844	ITGAL	1	0	1	3	0	2
ENSG00000005882	PDK2	186	170	187	200	226	215
ENSG00000005884	ITGA3	1831	1894	2033	2644	2759	2377
ENSG00000005889	ZFX	479	420	404	362	406	452
ENSG00000005893	LAMP2	1630	1852	1636	1734	1706	1650
ENSG00000005961	ITGA2B	0	0	0	0	2	0
ENSG00000005981	ASB4	0	0	0	0	0	0
ENSG00000006007	GDE1	724	731	647	719	695	679
ENSG00000006016	CRLF1	131	117	143	231	149	178
ENSG00000006025	OSBPL7	125	153	135	161	191	139
ENSG00000006042	TMEM98	0	0	0	0	0	0
ENSG00000006047	YBX2	0	0	0	1	1	0
ENSG00000006059	KRT33A	0	0	0	0	0	0
ENSG00000006062	MAP3K14	1893	2109	2034	1656	1741	1608
ENSG00000006071	ABCC8	16	7	4	19	12	16
ENSG00000006116	CACNG3	1	0	0	0	2	0
ENSG00000006118	TMEM132A	709	743	712	733	692	723
ENSG00000006125	AP2B1	3300	3410	3061	3304	3529	3402
ENSG00000006128	TAC1	0	0	0	0	0	0
ENSG00000006194	ZNF263	344	366	335	339	338	377
ENSG00000006210	CX3CL1	2	2	1	2	2	1
ENSG00000006282	SPATA20	355	403	417	446	481	395
ENSG00000006283	CACNA1G	40	43	55	59	65	64
ENSG00000006327	TNFRSF12A	1042	1126	1179	1394	1401	1324
ENSG00000006377	DLX6	0	0	0	0	0	0
ENSG00000006432	MAP3K9	176	163	185	155	205	193
ENSG00000006451	RALA	444	455	437	526	467	475
ENSG00000006453	BAIAP2L1	180	238	214	226	279	233
ENSG00000006459	KDM7A	24	31	31	27	21	27
ENSG00000006468	ETV1	38	32	40	25	30	29
ENSG00000006530	AGK	82	129	132	96	130	126
ENSG00000006534	ALDH3B1	262	316	297	301	316	307
ENSG00000006555	TTC22	0	0	0	0	0	0
ENSG00000006576	PHTF2	599	597	499	607	544	587
ENSG00000006606	CCL26	39	41	46	48	41	51
ENSG00000006607	FARP2	648	673	610	650	655	677
ENSG00000006611	USH1C	0	0	0	0	0	0
ENSG00000006625	GGCT	245	280	282	268	250	256
ENSG00000006634	DBF4	863	892	809	807	820	735
ENSG00000006638	TBXA2R	0	0	1	0	1	1
ENSG00000006652	IFRD1	522	577	541	525	509	481
ENSG00000006659	LGALS14	0	0	0	0	0	0
ENSG00000006695	COX10	283	313	251	262	278	250
ENSG00000006704	GTF2IRD1	302	293	282	293	336	324
ENSG00000006712	PAF1	380	416	372	447	425	462
ENSG00000006715	VPS41	293	308	270	310	333	324
ENSG00000006740	ARHGAP44	2	4	2	1	3	0
ENSG00000006744	ELAC2	970	1007	1000	918	988	948
ENSG00000006747	SCIN	0	0	0	3	2	1
ENSG00000006756	ARSD	83	98	102	121	131	119
ENSG00000006757	PNPLA4	0	0	0	0	0	0
ENSG00000006788	MYH13	0	0	0	0	1	0
ENSG00000006831	ADIPOR2	733	899	781	808	884	789
ENSG00000006837	CDKL3	4	12	7	8	12	7
ENSG00000007001	UPP2	0	0	0	0	0	0
ENSG00000007038	PRSS21	0	0	0	0	0	0
ENSG00000007047	MARK4	326	317	297	426	371	393
ENSG00000007062	PROM1	0	0	0	0	0	0
ENSG00000007080	CCDC124	407	446	420	393	404	435
ENSG00000007129	CEACAM21	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	1425	1583	1339	1505	1567	1532
ENSG00000007171	NOS2	0	0	1	0	0	0
ENSG00000007174	DNAH9	0	0	0	0	0	1
ENSG00000007202	KIAA0100	1795	2025	1836	1875	2044	1941
ENSG00000007216	SLC13A2	0	0	0	0	0	0
ENSG00000007237	GAS7	4	1	4	1	2	1
ENSG00000007255	TRAPPC6A	23	32	40	47	30	24
ENSG00000007264	MATK	0	0	0	0	1	0
ENSG00000007306	CEACAM7	0	0	0	0	0	0
ENSG00000007312	CD79B	0	1	0	1	0	0
ENSG00000007314	SCN4A	0	0	0	0	0	0
ENSG00000007341	ST7L	190	186	152	193	209	175
ENSG00000007350	TKTL1	0	0	0	0	1	0
ENSG00000007372	PAX6	23	20	13	28	24	27
ENSG00000007376	RPUSD1	409	433	483	428	443	380
ENSG00000007384	RHBDF1	178	222	223	263	258	270
ENSG00000007392	LUC7L	274	343	296	344	338	258
ENSG00000007402	CACNA2D2	7	3	7	10	13	6
ENSG00000007516	BAIAP3	131	101	135	136	117	120
ENSG00000007520	TSR3	336	415	398	411	412	364
ENSG00000007541	PIGQ	335	351	386	404	368	380
ENSG00000007866	TEAD3	133	159	148	171	183	178
ENSG00000007908	SELE	0	0	0	0	0	0
ENSG00000007923	DNAJC11	731	827	758	734	777	711
ENSG00000007933	FMO3	0	2	0	0	0	1
ENSG00000007944	MYLIP	66	68	73	75	97	87
ENSG00000007952	NOX1	0	1	2	1	4	4
ENSG00000007968	E2F2	120	157	160	167	169	190
ENSG00000008018	PSMB1	1114	1361	1204	1291	1255	1207
ENSG00000008056	SYN1	6	9	7	4	4	2
ENSG00000008083	JARID2	297	292	281	289	285	281
ENSG00000008086	CDKL5	23	25	20	34	30	25
ENSG00000008118	CAMK1G	2	2	0	1	5	11
ENSG00000008128	CDK11A	37	37	39	57	53	36
ENSG00000008130	NADK	346	436	345	432	389	357
ENSG00000008196	TFAP2B	1	0	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0
ENSG00000008226	DLEC1	57	68	65	70	69	51
ENSG00000008256	CYTH3	313	330	344	377	384	380
ENSG00000008277	ADAM22	107	115	106	108	111	115
ENSG00000008282	SYPL1	601	718	642	699	747	658
ENSG00000008283	CYB561	960	1036	1031	1018	1125	985
ENSG00000008294	SPAG9	770	769	645	827	850	854
ENSG00000008300	CELSR3	263	282	296	373	401	364
ENSG00000008311	AASS	196	202	176	169	188	162
ENSG00000008323	PLEKHG6	13	12	9	4	6	5
ENSG00000008324	SS18L2	100	115	104	109	129	102
ENSG00000008382	MPND	60	53	75	62	69	48
ENSG00000008394	MGST1	2193	2218	1950	1484	1538	1597
ENSG00000008405	CRY1	187	192	180	163	252	189
ENSG00000008438	PGLYRP1	3	0	1	3	1	0
ENSG00000008441	NFIX	3543	3788	3424	3205	3268	3201
ENSG00000008513	ST3GAL1	2214	2395	2120	1714	1714	1820
ENSG00000008516	MMP25	22	25	19	33	25	36
ENSG00000008517	IL32	36	36	34	64	51	63
ENSG00000008710	PKD1	716	821	841	980	918	893
ENSG00000008735	MAPK8IP2	9	17	9	20	17	16
ENSG00000008838	MED24	733	793	811	819	782	705
ENSG00000008853	RHOBTB2	242	243	252	249	274	259
ENSG00000008869	HEATR5B	195	187	159	185	196	188
ENSG00000008952	SEC62	1599	1623	1484	1776	1714	1565
ENSG00000008988	RPS20	4481	4988	4646	4118	4751	4066
ENSG00000009307	CSDE1	7144	7408	6623	6733	7152	6772
ENSG00000009335	UBE3C	1936	2011	1913	1980	2041	1984
ENSG00000009413	REV3L	273	270	232	284	365	344
ENSG00000009694	TENM1	1	1	1	1	1	0
ENSG00000009709	PAX7	0	0	0	0	0	0
ENSG00000009724	MASP2	21	15	15	15	14	24
ENSG00000009765	IYD	0	0	0	0	0	0
ENSG00000009780	FAM76A	55	47	49	48	41	56
ENSG00000009790	TRAF3IP3	11	23	21	33	21	19
ENSG00000009830	POMT2	153	176	172	190	166	177
ENSG00000009844	VTA1	644	697	596	666	701	691
ENSG00000009950	MLXIPL	0	0	0	0	0	0
ENSG00000009954	BAZ1B	1492	1536	1370	1461	1577	1535
ENSG00000010017	RANBP9	578	528	463	611	589	570
ENSG00000010030	ETV7	6	5	10	5	4	4
ENSG00000010072	SPRTN	163	176	165	223	195	202
ENSG00000010165	METTL13	289	319	308	319	364	309
ENSG00000010219	DYRK4	136	131	140	134	142	139
ENSG00000010244	ZNF207	3540	3637	3273	3247	3320	3392
ENSG00000010256	UQCRC1	785	958	876	814	894	830
ENSG00000010270	STARD3NL	663	669	619	697	674	643
ENSG00000010278	CD9	312	323	338	479	466	422
ENSG00000010282	HHATL	0	0	0	0	0	0
ENSG00000010292	NCAPD2	2902	3291	2907	3227	3364	3243
ENSG00000010295	IFFO1	158	189	179	229	223	200
ENSG00000010310	GIPR	3	5	2	8	3	9
ENSG00000010318	PHF7	17	26	28	22	27	31
ENSG00000010319	SEMA3G	4	1	1	9	9	10
ENSG00000010322	NISCH	503	477	470	636	609	612
ENSG00000010327	STAB1	76	64	90	85	92	80
ENSG00000010361	FUZ	122	163	166	147	184	151
ENSG00000010379	SLC6A13	0	0	0	0	0	0
ENSG00000010404	IDS	816	757	763	872	944	978
ENSG00000010438	PRSS3	1	0	0	2	0	1
ENSG00000010539	ZNF200	111	91	91	123	115	101
ENSG00000010610	CD4	0	3	1	1	0	3
ENSG00000010626	LRRC23	74	56	60	61	70	72
ENSG00000010671	BTK	4	0	1	0	0	0
ENSG00000010704	HFE	141	183	173	223	209	185
ENSG00000010803	SCMH1	431	469	434	440	488	466
ENSG00000010810	FYN	9	19	12	34	32	26
ENSG00000010818	HIVEP2	224	202	192	198	249	234
ENSG00000010932	FMO1	1	1	3	4	2	1
ENSG00000011009	LYPLA2	339	368	342	359	337	334
ENSG00000011021	CLCN6	202	194	178	199	186	197
ENSG00000011028	MRC2	1351	1560	1517	1522	1561	1572
ENSG00000011052	NME1-NME2	695	714	639	680	604	607
ENSG00000011083	SLC6A7	0	0	1	0	0	0
ENSG00000011105	TSPAN9	53	43	59	77	75	80
ENSG00000011114	BTBD7	6	2	2	2	6	2
ENSG00000011132	APBA3	75	74	90	91	71	81
ENSG00000011143	MKS1	74	93	78	88	94	79
ENSG00000011198	ABHD5	297	366	293	346	334	304
ENSG00000011201	ANOS1	0	0	0	0	0	0
ENSG00000011243	AKAP8L	258	275	276	334	319	324
ENSG00000011258	MBTD1	191	196	166	172	186	209
ENSG00000011260	UTP18	463	507	471	464	446	438
ENSG00000011275	RNF216	522	599	523	580	608	584
ENSG00000011295	TTC19	393	454	417	397	486	454
ENSG00000011304	PTBP1	5177	5535	5368	4953	5187	4976
ENSG00000011332	DPF1	60	57	71	71	71	56
ENSG00000011347	SYT7	7	8	6	12	11	10
ENSG00000011376	LARS2	306	359	341	339	337	308
ENSG00000011405	PIK3C2A	969	946	826	970	1103	1128
ENSG00000011422	PLAUR	155	173	159	217	214	201
ENSG00000011426	ANLN	4319	4400	4046	4960	5505	4990
ENSG00000011451	WIZ	838	849	863	854	840	914
ENSG00000011454	RABGAP1	370	380	347	432	469	396
ENSG00000011465	DCN	0	0	0	0	0	0
ENSG00000011478	QPCTL	165	167	197	151	147	193
ENSG00000011485	PPP5C	595	595	564	620	696	559
ENSG00000011523	CEP68	152	166	139	196	193	185
ENSG00000011566	MAP4K3	422	429	403	417	432	479
ENSG00000011590	ZBTB32	1	3	1	2	2	1
ENSG00000011600	TYROBP	0	0	0	0	0	0
ENSG00000011638	TMEM159	62	43	50	69	62	49
ENSG00000011677	GABRA3	2	0	0	1	0	0
ENSG00000012048	BRCA1	929	911	776	912	1008	943
ENSG00000012061	ERCC1	712	808	749	757	814	766
ENSG00000012124	CD22	28	29	37	41	47	51
ENSG00000012171	SEMA3B	81	106	92	157	157	120
ENSG00000012174	MBTPS2	613	676	587	708	719	708
ENSG00000012211	PRICKLE3	96	124	106	113	105	106
ENSG00000012223	LTF	0	0	0	0	0	0
ENSG00000012232	EXTL3	289	364	366	337	395	363
ENSG00000012504	NR1H4	2	0	1	0	0	1
ENSG00000012660	ELOVL5	3272	3271	2985	2882	2754	2726
ENSG00000012779	ALOX5	0	0	0	0	0	0
ENSG00000012817	KDM5D	83	98	101	100	118	89
ENSG00000012822	CALCOCO1	185	161	143	195	159	181
ENSG00000012963	UBR7	0	3	2	0	11	1
ENSG00000012983	MAP4K5	395	433	329	384	454	423
ENSG00000013016	EHD3	25	26	29	50	45	32
ENSG00000013275	PSMC4	849	950	891	926	1008	909
ENSG00000013288	MAN2B2	263	300	258	322	303	284
ENSG00000013293	SLC7A14	0	1	0	0	0	1
ENSG00000013297	CLDN11	168	214	196	200	198	171
ENSG00000013306	SLC25A39	1215	1419	1385	1433	1364	1352
ENSG00000013364	MVP	855	924	914	1039	1126	944
ENSG00000013374	NUB1	722	699	672	665	668	641
ENSG00000013375	PGM3	276	271	242	256	265	300
ENSG00000013392	RWDD2A	32	46	39	36	41	47
ENSG00000013441	CLK1	305	342	291	355	319	302
ENSG00000013503	POLR3B	212	230	174	216	248	227
ENSG00000013523	ANGEL1	88	131	112	98	105	92
ENSG00000013561	RNF14	328	345	351	407	416	389
ENSG00000013563	DNASE1L1	215	214	184	283	265	235
ENSG00000013573	DDX11	430	411	421	483	472	469
ENSG00000013583	HEBP1	286	315	245	293	297	264
ENSG00000013588	GPRC5A	2394	2464	2236	2763	3212	2983
ENSG00000013619	MAMLD1	209	239	215	320	353	291
ENSG00000013725	CD6	0	0	0	0	0	0
ENSG00000013810	TACC3	702	784	830	870	884	817
ENSG00000014123	UFL1	260	272	233	284	257	246
ENSG00000014138	POLA2	86	94	108	107	124	116
ENSG00000014164	ZC3H3	117	131	135	115	127	144
ENSG00000014216	CAPN1	1052	1100	1072	1235	1245	1080
ENSG00000014257	ACPP	0	0	0	2	1	0
ENSG00000014641	MDH1	928	1039	974	1167	1126	1058
ENSG00000014824	SLC30A9	484	549	484	556	563	482
ENSG00000014914	MTMR11	82	67	82	110	88	95
ENSG00000014919	COX15	345	380	365	399	418	405
ENSG00000015133	CCDC88C	31	14	34	29	27	29
ENSG00000015153	YAF2	125	136	136	136	133	128
ENSG00000015171	ZMYND11	655	635	617	675	730	680
ENSG00000015285	WAS	0	3	1	0	3	1
ENSG00000015413	DPEP1	0	0	0	0	0	0
ENSG00000015475	BID	392	367	371	390	416	362
ENSG00000015479	MATR3	4559	4901	4358	4494	4798	4635
ENSG00000015520	NPC1L1	2	2	1	3	0	2
ENSG00000015532	XYLT2	254	271	268	311	340	274
ENSG00000015568	RGPD5	1	0	3	4	1	2
ENSG00000015592	STMN4	0	0	0	0	0	0
ENSG00000015676	NUDCD3	497	594	467	610	600	565
ENSG00000016082	ISL1	0	0	0	0	0	1
ENSG00000016391	CHDH	0	0	0	0	0	0
ENSG00000016402	IL20RA	0	0	0	0	0	0
ENSG00000016490	CLCA1	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	0	0	0	0
ENSG00000016864	GLT8D1	290	312	317	352	324	329
ENSG00000017260	ATP2C1	827	917	793	908	902	844
ENSG00000017427	IGF1	0	0	0	0	0	0
ENSG00000017483	SLC38A5	0	2	2	0	1	1
ENSG00000017797	RALBP1	334	372	344	377	388	376
ENSG00000018189	RUFY3	156	164	157	178	211	191
ENSG00000018236	CNTN1	0	0	0	0	0	0
ENSG00000018280	SLC11A1	3	2	1	1	6	1
ENSG00000018408	WWTR1	826	844	767	742	702	764
ENSG00000018510	AGPS	1673	1819	1767	2108	2222	2200
ENSG00000018607	ZNF806	0	0	0	0	0	0
ENSG00000018610	CXorf56	199	206	208	204	211	227
ENSG00000018625	ATP1A2	2	1	1	1	1	2
ENSG00000018699	TTC27	134	140	144	157	155	142
ENSG00000018869	ZNF582	2	0	1	0	1	0
ENSG00000019102	VSIG2	7	7	12	7	7	5
ENSG00000019144	PHLDB1	397	460	413	545	548	550
ENSG00000019169	MARCO	0	0	0	0	0	0
ENSG00000019186	CYP24A1	0	6	1	2	0	1
ENSG00000019485	PRDM11	76	65	78	85	97	69
ENSG00000019505	SYT13	0	0	0	0	0	0
ENSG00000019549	SNAI2	792	763	646	598	557	559
ENSG00000019582	CD74	44	42	56	41	36	45
ENSG00000019991	HGF	1	0	0	2	0	1
ENSG00000019995	ZRANB1	481	525	452	499	556	474
ENSG00000020129	NCDN	357	408	459	422	381	380
ENSG00000020181	ADGRA2	226	250	217	244	260	253
ENSG00000020219	CCT8L1P	1	0	0	0	0	0
ENSG00000020256	ZFP64	254	245	239	245	240	250
ENSG00000020426	MNAT1	183	177	155	211	181	203
ENSG00000020577	SAMD4A	129	119	116	182	205	223
ENSG00000020633	RUNX3	47	61	76	73	91	67
ENSG00000021300	PLEKHB1	1	0	2	2	1	2
ENSG00000021355	SERPINB1	0	1	0	0	2	1
ENSG00000021461	CYP3A43	0	0	0	0	0	0
ENSG00000021488	SLC7A9	1	0	0	0	0	0
ENSG00000021574	SPAST	175	132	136	152	155	163
ENSG00000021645	NRXN3	12	6	6	5	8	4
ENSG00000021762	OSBPL5	123	148	157	180	171	174
ENSG00000021776	AQR	889	958	795	870	933	938
ENSG00000021826	CPS1	490	517	420	550	600	569
ENSG00000021852	C8B	0	0	0	0	0	0
ENSG00000022267	FHL1	2569	2869	2668	2631	2738	2585
ENSG00000022355	GABRA1	0	0	0	0	0	0
ENSG00000022556	NLRP2	0	0	0	0	0	0
ENSG00000022567	SLC45A4	76	83	93	103	115	111
ENSG00000022840	RNF10	750	897	782	892	945	833
ENSG00000022976	ZNF839	80	75	69	69	101	83
ENSG00000023041	ZDHHC6	377	400	350	404	420	398
ENSG00000023171	GRAMD1B	10	12	6	17	17	21
ENSG00000023191	RNH1	43	28	14	88	50	72
ENSG00000023228	NDUFS1	769	800	761	818	848	782
ENSG00000023287	RB1CC1	836	798	721	689	722	733
ENSG00000023318	ERP44	557	540	548	560	572	582
ENSG00000023330	ALAS1	692	782	731	671	679	689
ENSG00000023445	BIRC3	1166	1157	954	1139	1294	1211
ENSG00000023516	AKAP11	751	738	661	761	821	811
ENSG00000023572	GLRX2	292	330	287	295	324	291
ENSG00000023608	SNAPC1	70	57	51	84	52	69
ENSG00000023697	DERA	296	334	309	325	360	310
ENSG00000023734	STRAP	1451	1532	1359	1424	1518	1403
ENSG00000023839	ABCC2	20	22	19	16	15	16
ENSG00000023892	DEF6	0	0	4	1	2	4
ENSG00000023902	PLEKHO1	140	166	161	167	173	157
ENSG00000023909	GCLM	2653	2866	2471	1769	1642	1709
ENSG00000024048	UBR2	373	360	312	404	418	397
ENSG00000024422	EHD2	2483	2737	2331	2550	2680	2509
ENSG00000024526	DEPDC1	1256	1324	1196	1216	1341	1290
ENSG00000024862	CCDC28A	50	44	31	38	35	36
ENSG00000025039	RRAGD	0	0	0	0	0	0
ENSG00000025156	HSF2	157	159	151	175	148	155
ENSG00000025293	PHF20	699	652	605	768	754	784
ENSG00000025423	HSD17B6	80	59	58	60	67	59
ENSG00000025434	NR1H3	146	147	137	171	167	122
ENSG00000025708	TYMP	23	23	20	27	26	24
ENSG00000025770	NCAPH2	688	798	758	850	926	848
ENSG00000025772	TOMM34	993	1071	1052	898	930	801
ENSG00000025796	SEC63	900	825	799	799	854	799
ENSG00000025800	KPNA6	1019	1006	997	925	1196	1115
ENSG00000026025	VIM	21665	22699	21563	23486	24449	24414
ENSG00000026036	RTEL1-TNFRSF6B	55	38	70	75	77	55
ENSG00000026103	FAS	101	96	108	66	75	69
ENSG00000026297	RNASET2	39	49	42	68	50	43
ENSG00000026508	CD44	24273	23541	22074	20126	22163	22005
ENSG00000026559	KCNG1	98	126	99	133	113	117
ENSG00000026652	AGPAT4	95	87	74	184	195	184
ENSG00000026751	SLAMF7	7	4	5	2	6	3
ENSG00000026950	BTN3A1	231	232	212	223	234	204
ENSG00000027001	MIPEP	123	135	139	112	123	102
ENSG00000027075	PRKCH	3	6	5	8	2	7
ENSG00000027644	INSRR	1	0	1	1	2	1
ENSG00000027697	IFNGR1	463	449	373	424	410	410
ENSG00000027847	B4GALT7	276	338	287	345	301	313
ENSG00000027869	SH2D2A	3	2	4	3	2	3
ENSG00000028116	VRK2	490	468	417	425	474	470
ENSG00000028137	TNFRSF1B	0	0	0	0	0	0
ENSG00000028203	VEZT	472	472	412	482	460	452
ENSG00000028277	POU2F2	13	8	10	8	17	14
ENSG00000028310	BRD9	427	464	465	507	509	512
ENSG00000028528	SNX1	968	1043	930	1072	1023	983
ENSG00000028839	TBPL1	297	339	304	256	290	259
ENSG00000029153	ARNTL2	404	398	339	460	495	457
ENSG00000029363	BCLAF1	2152	2131	1898	1960	2074	2068
ENSG00000029364	SLC39A9	790	732	670	684	829	766
ENSG00000029534	ANK1	9	11	11	20	14	19
ENSG00000029559	IBSP	0	0	0	0	0	0
ENSG00000029639	TFB1M	72	79	81	63	75	54
ENSG00000029725	RABEP1	613	644	598	608	671	644
ENSG00000029993	HMGB3	508	522	515	587	572	542
ENSG00000030066	NUP160	1278	1457	1321	1347	1386	1332
ENSG00000030110	BAK1	240	255	281	248	303	260
ENSG00000030304	MUSK	3	8	2	4	4	7
ENSG00000030419	IKZF2	12	14	15	20	25	20
ENSG00000030582	GRN	1171	1269	1344	1364	1315	1340
ENSG00000031003	FAM13B	880	925	814	840	979	879
ENSG00000031081	ARHGAP31	191	227	201	237	259	296
ENSG00000031691	CENPQ	156	153	142	180	146	127
ENSG00000031698	SARS	1211	1276	1099	1277	1326	1227
ENSG00000031823	RANBP3	751	805	762	773	822	772
ENSG00000032219	ARID4A	141	111	103	107	111	113
ENSG00000032444	PNPLA6	199	232	243	234	224	206
ENSG00000032742	IFT88	100	113	94	101	119	129
ENSG00000033011	ALG1	606	642	634	622	605	621
ENSG00000033030	ZCCHC8	227	226	200	205	265	242
ENSG00000033050	ABCF2	454	481	445	394	406	368
ENSG00000033100	CHPF2	703	790	726	878	832	831
ENSG00000033122	LRRC7	10	3	4	6	6	7
ENSG00000033170	FUT8	378	391	332	344	350	368
ENSG00000033178	UBA6	588	607	523	643	649	641
ENSG00000033327	GAB2	19	29	23	24	36	30
ENSG00000033627	ATP6V0A1	422	421	443	578	512	529
ENSG00000033800	PIAS1	789	752	708	782	781	739
ENSG00000033867	SLC4A7	2131	2243	2077	1967	2013	2025
ENSG00000034053	APBA2	16	21	5	10	3	5
ENSG00000034152	MAP2K3	384	484	491	576	596	598
ENSG00000034239	EFCAB1	0	0	0	0	0	0
ENSG00000034510	TMSB10	3967	3899	3419	3823	4756	4482
ENSG00000034533	ASTE1	101	97	112	102	120	116
ENSG00000034677	RNF19A	247	281	223	285	269	306
ENSG00000034693	PEX3	200	230	191	181	201	208
